"","Forest","Community","Year","Site_Year_Code","Taxa_lvl1","Taxa_lvl2","Taxa_lvl5","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Estimated_Total_Pounds_Harvested","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested"
"27","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Large Land Mammals","Deer",12,17,25,35.4,"Yes",43.2,"Ind.",0.75,0.25,0.16700001,0.667,0.25,367.2,10.3679905,6
"28","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Large Land Mammals","Goat",16,16,57,57,"No",72.5,"Ind.",0.063,0.375,0.063,0.063,0.063,145,2.54,2
"29","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Large Land Mammals","Goat",16,17,57,60.6,"No",72.5,"Ind.",0.313,0.125,0.063,0.25,0.063,154,2.54,2
"30","Chugach","Chenega","1989","Chenega_1989","Land Mammals","Large Land Mammals","Goat",18,21,63,73.6,"No",72.5,"Ind.",0.38900003,0.111,0.111,0.278,0.16700001,169,2.3,2
"31","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Large Land Mammals","Goat",15,21,42,58.8,"No",72.5,"Ind.",0.2,0.067,0.067,0.2,0.067,102,1.73,1
"32","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Large Land Mammals","Goat",16,20,45,56.3,"No",72.5,"Ind.",0.25,0.125,0.0625,0.25,0.125,90.625,1.6111112,1
"33","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Large Land Mammals","Moose",16,16,57,57,"No",540,"Ind.",0.375,0.188,0.063,0.313,0.188,540,9.47,1
"34","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Large Land Mammals","Moose",16,17,57,60.6,"No",540,"Ind.",0.438,0.063,0.063,0.375,0.063,574,9.48,1
"35","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Large Land Mammals","Moose",15,21,42,58.8,"No",540,"Ind.",0.467,0.133,0.133,0.4,0.2,1512,25.71,2
"36","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Large Land Mammals","Moose",16,20,45,56.3,"No",540,"Ind.",0.4375,0.0625,0.0625,0.4375,0.125,675,12,1
"37","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Large Land Mammals","Moose",12,17,25,35.4,"Yes",540,"Ind.",0.333,0.16700001,0.083000004,0.25,0.083000004,765,21.59998,1
"38","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Large Land Mammals","Dall Sheep",15,21,42,58.8,"No",104,"Ind.",0.2,0.067,0.067,0.2,0.133,146,2.48,1
"39","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Small Land Mammals","Snowshoe Hare",16,16,57,57,"No",2,"Ind.",0.063,0.063,0.063,0,0.063,12,0.21,6
"40","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Small Land Mammals","Snowshoe Hare",15,21,42,58.8,"No",2,"Ind.",0.133,0.133,0.133,0,0,42,0.71,15
"41","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Small Land Mammals","Snowshoe Hare",16,20,45,56.3,"No",2,"Ind.",0.0625,0.0625,0.0625,0.0625,0.0625,15,0.26666668,6
"42","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Small Land Mammals","Land Otter",16,16,57,57,"No",0,"Ind.",0.188,0.125,0.125,0.063,0,0,0,24
"43","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Small Land Mammals","Land Otter",16,17,57,60.6,"No",NA,"Ind.",0.188,0.188,0.188,0,0,0,0,29
"44","Chugach","Chenega","1992","Chenega_1992","Land Mammals","Small Land Mammals","Land Otter",23,26,80,90.4,"No",0,"Ind.",0.087,0.13,0.087,0,0.087,0,0,3
"45","Chugach","Chenega","1993","Chenega_1993","Land Mammals","Small Land Mammals","Land Otter",23,28,83,101,"No",NA,"Ind.",0.087,0.087,0.087,0,0.043,0,0,6
"46","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Small Land Mammals","Land Otter",15,21,42,58.8,"No",0,"Ind.",0.2,0.133,0.133,0.133,0.067,0,0,12
"47","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Small Land Mammals","Land Otter",16,20,45,56.3,"No",0,"Ind.",0.0625,0.0625,0.0625,0,0,0,0,22
"48","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Land Otter",12,17,25,35.4,"Yes",0,"Ind.",0.16700001,0.16700001,0.16700001,0,0.083000004,0,0,19
"49","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Small Land Mammals","Marten",16,16,57,57,"No",0,"Ind.",0.063,0.063,0.063,0,0,0,0,2
"50","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Marten",12,17,25,35.4,"Yes",0,"Ind.",0.083000004,0.083000004,0.083000004,0,0,0,0,3
"51","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Small Land Mammals","Mink",16,16,57,57,"No",0,"Ind.",0.125,0.125,0.125,0,0,0,0,11
"52","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Small Land Mammals","Mink",16,17,57,60.6,"No",NA,"Ind.",0.25,0.188,0.188,0.063,0,0,0,17
"53","Chugach","Chenega","1992","Chenega_1992","Land Mammals","Small Land Mammals","Mink",23,26,80,90.4,"No",0,"Ind.",0.043,0.043,0.043,0.043,0,0,0,1
"54","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Small Land Mammals","Mink",15,21,42,58.8,"No",0,"Ind.",0.067,0.067,0.067,0,0,0,0,10
"55","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Small Land Mammals","Mink",16,20,45,56.3,"No",0,"Ind.",0.0625,0.0625,0.0625,0.0625,0,0,0,20
"56","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Mink",12,17,25,35.4,"Yes",0,"Ind.",0.083000004,0.083000004,0.083000004,0,0,0,0,14
"57","Chugach","Chenega","1984","Chenega_1984","Land Mammals","Small Land Mammals","Porcupine",16,16,57,57,"No",8,"Ind.",0.125,0.063,0.063,0.063,0,24,0.42,3
"58","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Small Land Mammals","Porcupine",16,17,57,60.6,"No",8,"Ind.",0.375,0.438,0.375,0.125,0.125,51,0.84,6
"59","Chugach","Chenega","1991","Chenega_1991","Land Mammals","Small Land Mammals","Porcupine",18,22,66,80.7,"No",8,"Ind.",0.055999998,0.055999998,0.055999998,0,0.055999998,10,0.12,1
"60","Chugach","Chenega","1992","Chenega_1992","Land Mammals","Small Land Mammals","Porcupine",23,26,80,90.4,"No",8,"Ind.",0.043,0.043,0.043,0,0.043,9,0.1,1
"61","Chugach","Chenega","1993","Chenega_1993","Land Mammals","Small Land Mammals","Porcupine",23,28,83,101,"No",8,"Ind.",0.043,0.043,0.043,0,0.043,49,0.48,5
"62","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Small Land Mammals","Tree Squirrel",16,20,45,56.3,"No",0.5,"Ind.",0.0625,0.0625,0.0625,0.0625,0.0625,6.25,0.11111111,10
"63","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Tree Squirrel",12,17,25,35.4,"Yes",0.5,"Ind.",0.083000004,0.083000004,0.083000004,0.083000004,0.083000004,7.1,0.19999981,10
"64","Chugach","Chenega","1985","Chenega_1985","Land Mammals","Small Land Mammals","Weasel",16,17,57,60.6,"No",NA,"Ind.",0.063,0.063,0.063,0,0,0,0,1
"65","Chugach","Chenega","1997","Chenega_1997","Land Mammals","Small Land Mammals","Weasel",15,21,42,58.8,"No",0,"Ind.",0.067,0.067,0.067,0,0.067,0,0,3
"66","Chugach","Chenega","2003","Chenega_2003","Land Mammals","Small Land Mammals","Weasel",16,20,45,56.3,"No",0,"Ind.",0.0625,0.0625,0.0625,0,0,0,0,7
"67","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Weasel",12,17,25,35.4,"Yes",0,"Ind.",0.083000004,0.083000004,0.083000004,0,0,0,0,4
"68","Chugach","Chenega","2014","Chenega_2014","Land Mammals","Small Land Mammals","Wolverine",12,17,25,35.4,"Yes",0,"Ind.",0.083000004,0.083000004,0.083000004,0,0,0,0,1
"69","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Black Bear",61,99,169,257.5,"Yes",58,"Ind.",0.083000004,0.061,0.049000002,0.034,0.024,490,1.9,NA
"70","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Caribou",61,99,169,257.5,"Yes",150,"Ind.",0.103999995,0.073,0.049000002,0.068,0.037,904,3.51,NA
"71","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Deer",61,99,169,257.5,"Yes",43.2,"Ind.",0.131,0.095,0.073,0.07,0.012,729,2.83,NA
"72","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Elk",61,99,169,257.5,"Yes",225,"Ind.",0.024,0.024,0.012,0.012,0,271,1.05,NA
"73","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Moose",61,99,169,257.5,"Yes",500,"Ind.",0.42900002,0.277,0.096999995,0.393,0.11,4824,18.73,NA
"74","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Large Land Mammals","Dall Sheep",61,99,169,257.5,"Yes",65,"Ind.",0.037,0.024,0.024,0.012,0.012,157,0.61,NA
"75","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Small Land Mammals","Snowshoe Hare",61,99,169,257.5,"Yes",2,"Ind.",0.034,0.034,0.034,0,0.012,38,0.15,NA
"76","Chugach","Cooper Landing","1990","Cooper Landing_1990","Land Mammals","Small Land Mammals","Marmot",61,99,169,257.5,"Yes",8,"Ind.",0.012,0.012,0.012,0,0,10,0.04,NA
"77","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Bison",101,784,295,2289.9,"No",450,"Ind.",0.01,0.01,0.01,0,0.01,3493,1.53,1
"78","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Large Land Mammals","Black Bear",206,853,547,2265,"No",58,"Ind.",0.068,0.073,0.029000001,0.044,0.015,1441,0.64,9
"79","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Black Bear",101,872,299,2407.4,"No",NA,"Ind.",0.049000002,0.078,0.02,0.029000001,0.032,891,0.37,NA
"80","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Black Bear",101,784,295,2289.9,"No",58,"Ind.",0.03,0.03,0.02,0.01,0.02,450,0.2,2
"81","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Large Land Mammals","Black Bear",104,946,326,2965.4,"No",58,"Ind.",0.038,0.038,0.019,0.019,0.019,1055,0.36,2
"82","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Black Bear",152,830,449,2507.1,"No",58,"Ind.",0.118,0.118999995,0.047,0.071,0.051,2473,0.99,NA
"83","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Black Bear",148,910,378,2397.3,"No",58,"Ind.",0.11030817,0.083970375,0.029771859,0.08931558,0.022515528,2034.7283,0.8410896,5
"84","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Black Bear",184,950,504,2602.2,"Yes",58,"Ind.",0.06,0.043,0.022,0.038,0.027,1197.8,0.46031746,4
"85","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Large Land Mammals","Brown Bear",206,853,547,2265,"No",150,"Ind.",0.029000001,0.058000002,0.019,0.01,0.005,2484,1.1,7
"86","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Brown Bear",101,872,299,2407.4,"No",NA,"Ind.",0.009,0.049000002,0.009,0,0,7,0,NA
"87","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Brown Bear",101,784,295,2289.9,"No",150,"Ind.",0.01,0.05,0.01,0,0,0,0,1
"88","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Brown Bear",152,830,449,2507.1,"No",150,"Ind.",0.024,0.063,0.024,0,0,1972,0.79,NA
"89","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Brown Bear",148,910,378,2397.3,"No",340,"Ind.",0.022515528,0.043508124,0.010302198,0.01221333,0.003434066,468.75,0.19376579,4
"90","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Caribou",101,784,295,2289.9,"No",150,"Ind.",0.059,0.02,0.02,0.04,0.01,4658,2.03,4
"91","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Caribou",152,830,449,2507.1,"No",150,"Ind.",0.071,0.024,0.008,0.063,0.027999999,1972,0.79,NA
"92","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Caribou",148,910,378,2397.3,"No",150,"Ind.",0.077102244,0.017558528,0.017558528,0.06832298,0.003434066,3595.1086,1.4860994,3
"93","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Caribou",184,950,504,2602.2,"Yes",150,"Ind.",0.022,0.005,0.005,0.016,0.005,1548.9,0.5952381,2
"94","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Large Land Mammals","Deer",206,853,547,2265,"No",43.2,"Ind.",0.65,0.505,0.316,0.408,0.204,38996,17.22,231
"95","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Deer",101,872,299,2407.4,"No",43.2,"Ind.",0.72900003,0.56200004,0.39400002,0.437,0.258,62528,25.97,NA
"96","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Deer",101,784,295,2289.9,"No",43.2,"Ind.",0.683,0.554,0.376,0.376,0.22799999,36887,16.11,110
"97","Chugach","Cordova","1992","Cordova_1992","Land Mammals","Large Land Mammals","Deer",41,784,140,2677.1,"No",43.2,"Ind.",0.829,0.512,0.439,0.585,0.29299998,50390,18.82,61
"98","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Large Land Mammals","Deer",104,946,326,2965.4,"No",43.2,"Ind.",0.66300005,0.48099998,0.231,0.52900004,0.24,30257,10.2,77
"99","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Deer",152,830,449,2507.1,"No",43.2,"Ind.",0.727,0.478,0.407,0.462,0.355,62248,24.83,NA
"100","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Deer",148,910,378,2397.3,"No",43.2,"Ind.",0.614877,0.431677,0.38625777,0.35953176,0.28434065,58500.78,24.182295,245
"101","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Deer",184,950,504,2602.2,"Yes",43.2,"Ind.",0.45099998,0.31,0.21200001,0.29299998,0.158,20407.9,7.8426228,91
"102","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Elk",101,872,299,2407.4,"No",NA,"Ind.",0.008,0.008,0.008,0,0.008,2783,1.16,NA
"103","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Elk",152,830,449,2507.1,"No",225,"Ind.",0.027999999,0.024,0.024,0.02,0.024,5917,2.36,NA
"104","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Large Land Mammals","Goat",206,853,547,2265,"No",72.5,"Ind.",0.058000002,0.039,0.015,0.044,0.005,901,0.4,4
"105","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Goat",101,872,299,2407.4,"No",72.5,"Ind.",0.025,0.011,0.009,0.016,0.009,599,0.25,NA
"106","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Goat",152,830,449,2507.1,"No",72.5,"Ind.",0.095,0.055,0.04,0.055,0.036,2860,1.14,NA
"107","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Goat",148,910,378,2397.3,"No",72.5,"Ind.",0.08892737,0.02442666,0.017558528,0.07480291,0.019081462,1158.424,0.47885427,2
"108","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Goat",184,950,504,2602.2,"Yes",72.5,"Ind.",0.076,0.038,0.027,0.054,0.022,1871.6,0.71924603,5
"109","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Large Land Mammals","Moose",206,853,547,2265,"No",540,"Ind.",0.5,0.282,0.117,0.38799998,0.111999996,50310,22.21,27.5
"110","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Large Land Mammals","Moose",101,872,299,2407.4,"No",540,"Ind.",0.523,0.215,0.1,0.43400002,0.1,50949,21.16,NA
"111","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Large Land Mammals","Moose",101,784,295,2289.9,"No",540,"Ind.",0.624,0.317,0.139,0.485,0.14899999,67067,29.29,16
"112","Chugach","Cordova","1992","Cordova_1992","Land Mammals","Large Land Mammals","Moose",41,784,140,2677.1,"No",540,"Ind.",0.634,0.366,0.146,0.537,0.22,61955,23.14,6
"113","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Large Land Mammals","Moose",104,946,326,2965.4,"No",540,"Ind.",0.67300004,0.202,0.077,0.587,0.16299999,39295,13.25,8
"114","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Moose",152,830,449,2507.1,"No",540,"Ind.",0.49400002,0.221,0.107,0.407,0.198,53182,21.21,NA
"115","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Moose",148,910,378,2397.3,"No",540,"Ind.",0.49808887,0.14694816,0.12061037,0.39655995,0.16029623,59722.824,24.687447,18
"116","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Moose",184,950,504,2602.2,"Yes",540,"Ind.",0.66800004,0.239,0.152,0.538,0.22299999,78065.2,30,28
"117","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Large Land Mammals","Dall Sheep",104,946,326,2965.4,"No",104,"Ind.",0.019,0.01,0.01,0.01,0.01,946,0.32,1
"118","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Large Land Mammals","Dall Sheep",152,830,449,2507.1,"No",104,"Ind.",0.04,0.016,0.008,0.032,0,684,0.27,NA
"119","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Large Land Mammals","Dall Sheep",148,910,378,2397.3,"No",104,"Ind.",0.01221333,0.008779264,0.008779264,0.003434066,0.01221333,830.86957,0.3434541,1
"120","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Large Land Mammals","Dall Sheep",184,950,504,2602.2,"Yes",104,"Ind.",0.038,0.011,0.011,0.033,0.005,1073.9,0.41269842,2
"121","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Small Land Mammals","Beaver",206,853,547,2265,"No",8.75,"Ind.",0.015,0.015,0.015,0.005,0,652,0.29,18
"122","Chugach","Cordova","1988","Cordova_1988","Land Mammals","Small Land Mammals","Beaver",101,872,299,2407.4,"No",8.75,"Ind.",0.039,0.022,0.022,0.019,0.009,57,0.02,NA
"123","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Small Land Mammals","Beaver",101,784,295,2289.9,"No",8.75,"Ind.",0.04,0.02,0.02,0.03,0.01,68,0.03,4
"124","Chugach","Cordova","1992","Cordova_1992","Land Mammals","Small Land Mammals","Beaver",41,784,140,2677.1,"No",0,"Ind.",0.024,0.024,0.024,0,0,0,0,2
"125","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Small Land Mammals","Beaver",104,946,326,2965.4,"No",NA,"Ind.",0.019,0.019,0.01,0.01,0,0,0,8
"126","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Small Land Mammals","Beaver",152,830,449,2507.1,"No",8.75,"Ind.",0.036,0.04,0.032,0.004,0.024,345,0.14,NA
"127","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Small Land Mammals","Beaver",148,910,378,2397.3,"No",8.75,"Ind.",0.057632584,0.04885332,0.04885332,0.01221333,0.017558528,164.0625,0.06781803,52
"128","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Small Land Mammals","Beaver",184,950,504,2602.2,"Yes",8.75,"Ind.",0.016,0.016,0.016,0,0,496.9,0.19097222,14
"129","Chugach","Cordova","1985","Cordova_1985","Land Mammals","Small Land Mammals","Coyote",206,853,547,2265,"No",NA,"Ind.",0.01,0.01,0.01,0,0,0,0,3
"130","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Small Land Mammals","Coyote",104,946,326,2965.4,"No",NA,"Ind.",0.019,0.029000001,0.01,0,0,0,0,1
"131","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Small Land Mammals","Coyote",148,910,378,2397.3,"No",0,"Ind.",0.038551122,0.029771859,0.026337793,0.01221333,0.003434066,0,0,4
"132","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Small Land Mammals","Coyote",184,950,504,2602.2,"Yes",0,"Ind.",0.022,0.033,0.022,0,0,0,0,9
"133","Chugach","Cordova","1992","Cordova_1992","Land Mammals","Small Land Mammals","Snowshoe Hare",41,784,140,2677.1,"No",2,"Ind.",0.073,0.073,0.073,0,0,765,0.29,20
"134","Chugach","Cordova","1993","Cordova_1993","Land Mammals","Small Land Mammals","Snowshoe Hare",104,946,326,2965.4,"No",2,"Ind.",0.192,0.221,0.154,0.067,0.058000002,1656,0.56,91
"135","Chugach","Cordova","1997","Cordova_1997","Land Mammals","Small Land Mammals","Snowshoe Hare",152,830,449,2507.1,"No",2,"Ind.",0.245,0.257,0.221,0.059,0.099,4887,1.95,NA
"136","Chugach","Cordova","2003","Cordova_2003","Land Mammals","Small Land Mammals","Snowshoe Hare",148,910,378,2397.3,"No",2,"Ind.",0.12061037,0.14885929,0.11374223,0.006868132,0.019081462,1136.4131,0.46975568,117
"137","Chugach","Cordova","2014","Cordova_2014","Land Mammals","Small Land Mammals","Snowshoe Hare",184,950,504,2602.2,"Yes",2,"Ind.",0.06,0.092,0.06,0,0.011,425.8,0.16363084,43
"138","Chugach","Cordova","1991","Cordova_1991","Land Mammals","Small Land Mammals","Unknown Hare",101,784,295,2289.9,"No",2,"Ind.",0.129,0.158,0.118999995,0.01,0.04,1739,0.76,112
