"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"100","Land Mammals","Small Land Mammals","Wolf","Wolf","Wolf","Terrestrial"
"101","Land Mammals","Small Land Mammals","Wolverine","Wolverine","Wolverine","Terrestrial"
"102","Land Mammals","Small Land Mammals","Marmot","Marmot","Marmot","Terrestrial"
"103","Land Mammals","Large Land Mammals","Bison","Bison","Bison","Terrestrial"
"104","Land Mammals","Small Land Mammals","Hare","Hare","Unknown Hare","Terrestrial"
"105","Land Mammals","Small Land Mammals","Muskrat","Muskrat","Muskrat","Terrestrial"
"106","Land Mammals","Feral Animals","Rabbit - Feral","Rabbit - Feral","Rabbit - Feral","Terrestrial"
"107","Land Mammals","Feral Animals","Reindeer - Feral","Reindeer - Feral","Reindeer - Feral","Terrestrial"
"108","Land Mammals","Large Land Mammals","Unknown Large Land Mammal","Unknown Large Land Mammal","Unknown Large Land Mammal","Terrestrial"
"109","Marine Mammals","Marine Mammals","Porpoise","Porpoise","Porpoise","Marine"
"110","Marine Mammals","Marine Mammals","Seal","Seal","Seal","Marine"
"111","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","Marine"
"112","Marine Mammals","Marine Mammals","Sea Otter","Sea Otter","Sea Otter","Marine"
"113","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","Marine"
"114","Marine Mammals","Marine Mammals","Whale","Whale","Belukha","Marine"
"115","Marine Mammals","Marine Mammals","Whale","Whale","Bowhead","Marine"
"116","Marine Mammals","Marine Mammals","Whale","Whale","Unknown Whale","Marine"
"117","Marine Mammals","Marine Mammals","Walrus","Walrus","Walrus","Marine"
"118","Marine Mammals","Marine Mammals","Seal","Seal","Bearded Seal","Marine"
"119","Marine Mammals","Marine Mammals","Seal","Seal","Unknown Seal","Marine"
"120","Marine Mammals","Marine Mammals","Porpoise","Porpoise","Dall Porpoise","Marine"
"121","Birds and Eggs","Migratory Birds","Duck","Duck","Duck","Terrestrial"
"122","Birds and Eggs","Migratory Birds","Geese","Geese","Geese","Terrestrial"
"123","Birds and Eggs","Migratory Birds","Crane","Crane","Crane","Terrestrial"
"124","Birds and Eggs","Bird Eggs","Unknown Eggs","Unknown Eggs","Unknown Eggs","Terrestrial"
"125","Birds and Eggs","Other Birds","Unknown Other Birds","Unknown Other Birds","Unknown Other Birds","Terrestrial"
"126","Birds and Eggs","Bird Eggs","Geese Eggs","Geese Eggs","Geese Eggs","Terrestrial"
"127","Birds and Eggs","Migratory Birds","Swan","Swan","Swan","Terrestrial"
"128","Birds and Eggs","Bird Eggs","Duck Eggs","Duck Eggs","Duck Eggs","Terrestrial"
"129","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Goldeneye","Terrestrial"
"130","Birds and Eggs","Migratory Birds","Duck","Merganser","Merganser","Terrestrial"
"131","Birds and Eggs","Migratory Birds","Duck","Scaup","Scaup","Terrestrial"
"132","Birds and Eggs","Migratory Birds","Duck","Scoter","Scoter","Terrestrial"
"133","Birds and Eggs","Migratory Birds","Duck","Teal","Teal","Terrestrial"
"134","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Grouse","Terrestrial"
"135","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Ptarmigan","Terrestrial"
