"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"173","Marine Mammals 1997","Ketchikan_1997","Ketchikan","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1564.5,2260,621,3899,NA,NA,56,"Ind.",19,27,NA,NA,NA
"174","Marine Mammals 1998","Ketchikan_1998","Ketchikan","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1438.5,2261,238,4283,NA,NA,56,"Ind.",17,27,NA,NA,NA
"175","Marine Mammals 2000","Ketchikan_2000","Ketchikan","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3801,9231,-2279,20741,NA,NA,56,"Ind.",46,112,NA,NA,NA
"176","Marine Mammals 2001","Ketchikan_2001","Ketchikan","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,910,1050,373,1727,NA,NA,56,"Ind.",11,13,NA,NA,NA
"177","Marine Mammals 2002","Ketchikan_2002","Ketchikan","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,9124.5,10528,NA,NA,NA,NA,56,"Ind.",107,123,NA,NA,NA
"178","Marine Mammals 2003","Ketchikan_2003","Ketchikan","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3517.5,6532,NA,NA,NA,NA,56,"Ind.",42,78,NA,NA,NA
"179","Marine Mammals 2004","Ketchikan_2004","Ketchikan","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5061,5061,NA,NA,NA,NA,56,"Ind.",60,60,NA,NA,NA
"180","Marine Mammals 2005","Ketchikan_2005","Ketchikan","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3944.5,6136,3944,9744,NA,NA,56,"Ind.",47,73,NA,NA,NA
"181","Marine Mammals 2006","Ketchikan_2006","Ketchikan","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2271.5,3281,2271,6005,NA,NA,56,"Ind.",26,37,NA,NA,NA
"182","Marine Mammals 1995","Ketchikan_1995","Ketchikan","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"183","Marine Mammals 1996","Ketchikan_1996","Ketchikan","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"184","Marine Mammals 1997","Ketchikan_1997","Ketchikan","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"185","Marine Mammals 1998","Ketchikan_1998","Ketchikan","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"186","Marine Mammals 2000","Ketchikan_2000","Ketchikan","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"187","Marine Mammals 2001","Ketchikan_2001","Ketchikan","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"188","Marine Mammals 2002","Ketchikan_2002","Ketchikan","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"189","Marine Mammals 2003","Ketchikan_2003","Ketchikan","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"190","Marine Mammals 2004","Ketchikan_2004","Ketchikan","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"191","Marine Mammals 2005","Ketchikan_2005","Ketchikan","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"192","Marine Mammals 2006","Ketchikan_2006","Ketchikan","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"193","Marine Mammals 2007","Ketchikan_2007","Ketchikan","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"194","Marine Mammals 2008","Ketchikan_2008","Ketchikan","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,333,333,747,NA,NA,200,"Ind.",1,2,NA,NA,NA
"195","Marine Mammals 1995","Klawock_1995","Klawock","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,17878,22348,13935,30760,NA,NA,56,"Ind.",211,264,NA,NA,NA
"196","Marine Mammals 1996","Klawock_1996","Klawock","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5278,5938,4301,7574,NA,NA,56,"Ind.",62,70,NA,NA,NA
"197","Marine Mammals 1997","Klawock_1997","Klawock","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,8095.5,8096,8096,8096,NA,NA,56,"Ind.",94,94,NA,NA,NA
"198","Marine Mammals 1998","Klawock_1998","Klawock","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,7087.5,7088,7088,7088,NA,NA,56,"Ind.",83,83,NA,NA,NA
"199","Marine Mammals 2000","Klawock_2000","Klawock","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4452,5858,4607,7109,NA,NA,56,"Ind.",51,67,NA,NA,NA
"200","Marine Mammals 2001","Klawock_2001","Klawock","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5733,6115,5587,6643,NA,NA,56,"Ind.",67,71,NA,NA,NA
"201","Marine Mammals 2002","Klawock_2002","Klawock","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2005.5,2006,NA,NA,NA,NA,56,"Ind.",24,24,NA,NA,NA
"202","Marine Mammals 2003","Klawock_2003","Klawock","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4574.5,5165,NA,NA,NA,NA,56,"Ind.",53,60,NA,NA,NA
"203","Marine Mammals 2004","Klawock_2004","Klawock","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1963.5,2492,NA,NA,NA,NA,56,"Ind.",23,29,NA,NA,NA
"204","Marine Mammals 2005","Klawock_2005","Klawock","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1729,1729,1729,1729,NA,NA,56,"Ind.",20,20,NA,NA,NA
"205","Marine Mammals 2006","Klawock_2006","Klawock","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1197,1388,1197,1778,NA,NA,56,"Ind.",14,16,NA,NA,NA
"206","Marine Mammals 1995","Klawock_1995","Klawock","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"207","Marine Mammals 1996","Klawock_1996","Klawock","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"208","Marine Mammals 1997","Klawock_1997","Klawock","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"209","Marine Mammals 1998","Klawock_1998","Klawock","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"210","Marine Mammals 2000","Klawock_2000","Klawock","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,263,10,516,NA,NA,200,"Ind.",1,1,NA,NA,NA
"211","Marine Mammals 2001","Klawock_2001","Klawock","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"212","Marine Mammals 2002","Klawock_2002","Klawock","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,200,NA,NA,NA,NA,200,"Ind.",1,1,NA,NA,NA
"213","Marine Mammals 2003","Klawock_2003","Klawock","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,400,452,NA,NA,NA,NA,200,"Ind.",2,2,NA,NA,NA
"214","Marine Mammals 2004","Klawock_2004","Klawock","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,254,NA,NA,NA,NA,200,"Ind.",1,1,NA,NA,NA
"215","Marine Mammals 2005","Klawock_2005","Klawock","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"216","Marine Mammals 2006","Klawock_2006","Klawock","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,232,232,400,NA,NA,200,"Ind.",1,1,NA,NA,NA
"217","Marine Mammals 2007","Klawock_2007","Klawock","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"218","Marine Mammals 2008","Klawock_2008","Klawock","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"219","Marine Mammals 1995","Klukwan_1995","Klukwan","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,931,2979,-289,6247,NA,NA,56,"Ind.",11,35,NA,NA,NA
"220","Marine Mammals 1996","Klukwan_1996","Klukwan","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,437.5,547,225,869,NA,NA,56,"Ind.",5,6,NA,NA,NA
"221","Marine Mammals 1997","Klukwan_1997","Klukwan","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,84,95,32,157,NA,NA,56,"Ind.",1,1,NA,NA,NA
"222","Marine Mammals 1998","Klukwan_1998","Klukwan","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,577.5,866,465,1267,NA,NA,56,"Ind.",7,11,NA,NA,NA
"223","Marine Mammals 2000","Klukwan_2000","Klukwan","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,262.5,1575,1575,1575,NA,NA,56,"Ind.",3,18,NA,NA,NA
"224","Marine Mammals 2001","Klukwan_2001","Klukwan","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,56,"Ind.",0,0,NA,NA,NA
"225","Marine Mammals 2002","Klukwan_2002","Klukwan","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,56,"Ind.",0,0,NA,NA,NA
"226","Marine Mammals 2003","Klukwan_2003","Klukwan","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,56,"Ind.",0,0,NA,NA,NA
"227","Marine Mammals 2004","Klukwan_2004","Klukwan","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,56,"Ind.",0,0,NA,NA,NA
"228","Marine Mammals 2006","Klukwan_2006","Klukwan","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,56,"Ind.",0,0,NA,NA,NA
"229","Marine Mammals 1995","Klukwan_1995","Klukwan","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"230","Marine Mammals 1996","Klukwan_1996","Klukwan","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"231","Marine Mammals 1997","Klukwan_1997","Klukwan","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"232","Marine Mammals 1998","Klukwan_1998","Klukwan","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"233","Marine Mammals 2000","Klukwan_2000","Klukwan","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"234","Marine Mammals 2001","Klukwan_2001","Klukwan","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"235","Marine Mammals 2002","Klukwan_2002","Klukwan","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"236","Marine Mammals 2003","Klukwan_2003","Klukwan","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"237","Marine Mammals 2004","Klukwan_2004","Klukwan","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"238","Marine Mammals 2006","Klukwan_2006","Klukwan","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"239","Marine Mammals 2007","Klukwan_2007","Klukwan","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"240","Marine Mammals 1995","Pelican_1995","Pelican","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1018.5,1146,865,1427,NA,NA,56,"Ind.",12,14,NA,NA,NA
"241","Marine Mammals 1996","Pelican_1996","Pelican","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1050,1350,605,2095,NA,NA,56,"Ind.",12,15,NA,NA,NA
"242","Marine Mammals 1997","Pelican_1997","Pelican","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1095.5,1224,840,1609,NA,NA,56,"Ind.",13,15,NA,NA,NA
"243","Marine Mammals 1998","Pelican_1998","Pelican","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1116.5,1356,928,1783,NA,NA,56,"Ind.",13,16,NA,NA,NA
"244","Marine Mammals 2000","Pelican_2000","Pelican","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,602,642,514,771,NA,NA,56,"Ind.",7,7,NA,NA,NA
"245","Marine Mammals 2001","Pelican_2001","Pelican","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,766.5,767,767,767,NA,NA,56,"Ind.",9,9,NA,NA,NA
"246","Marine Mammals 2002","Pelican_2002","Pelican","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,77,135,NA,NA,NA,NA,56,"Ind.",1,2,NA,NA,NA
"247","Marine Mammals 2003","Pelican_2003","Pelican","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,77,135,NA,NA,NA,NA,56,"Ind.",1,2,NA,NA,NA
"248","Marine Mammals 2004","Pelican_2004","Pelican","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,77,135,NA,NA,NA,NA,56,"Ind.",1,2,NA,NA,NA
"249","Marine Mammals 2005","Pelican_2005","Pelican","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,777,906,777,1128,NA,NA,56,"Ind.",9,10,NA,NA,NA
"250","Marine Mammals 2006","Pelican_2006","Pelican","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,591.5,709,591,957,NA,NA,56,"Ind.",7,8,NA,NA,NA
"251","Marine Mammals 1995","Pelican_1995","Pelican","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"252","Marine Mammals 1996","Pelican_1996","Pelican","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"253","Marine Mammals 1997","Pelican_1997","Pelican","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"254","Marine Mammals 1998","Pelican_1998","Pelican","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"255","Marine Mammals 2000","Pelican_2000","Pelican","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"256","Marine Mammals 2001","Pelican_2001","Pelican","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"257","Marine Mammals 2002","Pelican_2002","Pelican","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"258","Marine Mammals 2003","Pelican_2003","Pelican","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"259","Marine Mammals 2004","Pelican_2004","Pelican","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"260","Marine Mammals 2005","Pelican_2005","Pelican","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"261","Marine Mammals 2006","Pelican_2006","Pelican","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"262","Marine Mammals 2007","Pelican_2007","Pelican","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"263","Marine Mammals 2008","Pelican_2008","Pelican","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"264","Marine Mammals 1995","Petersburg_1995","Petersburg","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1018.5,1151,929,1374,NA,NA,56,"Ind.",12,14,NA,NA,NA
"265","Marine Mammals 1996","Petersburg_1996","Petersburg","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1337,1628,1211,2044,NA,NA,56,"Ind.",16,19,NA,NA,NA
"266","Marine Mammals 1997","Petersburg_1997","Petersburg","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,920.5,991,821,1162,NA,NA,56,"Ind.",11,12,NA,NA,NA
"267","Marine Mammals 1998","Petersburg_1998","Petersburg","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1949.5,2022,1798,2246,NA,NA,56,"Ind.",23,24,NA,NA,NA
"268","Marine Mammals 2000","Petersburg_2000","Petersburg","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1680,1738,1610,1866,NA,NA,56,"Ind.",20,21,NA,NA,NA
