"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"21","Marine Mammals 1998","Angoon_1998","Angoon","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"22","Marine Mammals 2000","Angoon_2000","Angoon","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,204,148,260,NA,NA,200,"Ind.",1,1,NA,NA,NA
"23","Marine Mammals 2001","Angoon_2001","Angoon","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"24","Marine Mammals 2002","Angoon_2002","Angoon","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"25","Marine Mammals 2003","Angoon_2003","Angoon","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"26","Marine Mammals 2004","Angoon_2004","Angoon","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"27","Marine Mammals 2005","Angoon_2005","Angoon","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"28","Marine Mammals 2006","Angoon_2006","Angoon","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"29","Marine Mammals 2007","Angoon_2007","Angoon","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"30","Marine Mammals 2008","Angoon_2008","Angoon","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
