"","X","Forest","site","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log","harvest_total_mean","harvest_total_sd","harvest_total_cv","n","prop_days_below_threshold","synchrony_loreau","synchrony_gross","1_logSD","log_1_SD"
"18",18,"Chugach","Cordova_2014","Cordova",2014,47,2.29327921774577,0.5956341041905,25,20.1240970557322,1.06996355715425,4,0.771815558919173,-0.259009670818828,3.00191795550217,0.272699834847466,0.383727866355632,1.4071437431206,255,69.8630136986301,0.305749310694033,0.19821358442877,0.333120363322094,-3.00191795550217
"19",19,"Chugach","Nanwalek_1987","Nanwalek",1987,36,2.80070706434263,0.781552187233385,25,21.4461036506881,1.10200005387147,4,0.79492500638987,-0.229507500362378,3.06554298088746,0.252888748449833,0.269584034522001,1.0660183032045,277,75.8904109589041,0.32258113497996,0.185855602756848,0.326206484865694,-3.06554298088746
"20",20,"Chugach","Nanwalek_1989","Nanwalek",1989,33,2.55830726103285,0.731675026025074,25,17.978946959262,1.20908029511442,4,0.872167072899066,-0.136774276064273,2.8892014599903,0.267259597083041,0.271631681922924,1.01635894421604,274,75.0684931506849,0.2473758950068,0.159193221813417,0.346116397159566,-2.8892014599903
"21",21,"Chugach","Nanwalek_1990","Nanwalek",1990,40,2.65126334852794,0.718717806181273,25,28.170705185158,0.966092352435951,4,0.696888322950049,-0.361130106381803,3.3382826147719,0.263083716224934,0.319881017968005,1.21589060150918,277,75.8904109589041,0.417750265974668,0.22988550461931,0.299555225065427,-3.3382826147719
"22",22,"Chugach","Nanwalek_1991","Nanwalek",1991,32,2.54871713050718,0.735404312962292,25,24.8212287039859,1.04668646235309,4,0.755024684301208,-0.281004835828878,3.21169928314365,0.272541799314067,0.330690573236669,1.21335726875272,273,74.7945205479452,0.4143105680984,0.246866297696265,0.311361653704137,-3.21169928314365
"23",23,"Chugach","Nanwalek_1992","Nanwalek",1992,38,2.69169680918973,0.739967849831549,25,21.697223598922,1.1156708230204,4,0.804786381818017,-0.217178400980104,3.07718430761065,0.266142344756061,0.282953421018898,1.06316573290224,275,75.3424657534247,0.311297339263802,0.220187306803057,0.324972409851028,-3.07718430761065
"24",24,"Chugach","Nanwalek_1993","Nanwalek",1993,40,2.58877094416887,0.701777050828215,25,23.2305610061627,1.06283455146448,4,0.766673068341624,-0.265694815757054,3.14546869656229,0.266176711947083,0.316742552827824,1.18997094265254,277,75.8904109589041,0.367091105128007,0.220404079341617,0.317917644862564,-3.14546869656228
"25",25,"Chugach","Nanwalek_1997","Nanwalek",1997,43,2.55081983495279,0.678193065109598,25,28.5695070197905,0.92345710053779,4,0.666133489709785,-0.406265193526482,3.35233996092372,0.265686972357966,0.33245097188677,1.25128819428471,275,75.3424657534247,0.358354455666528,0.244074951227082,0.298299102017224,-3.35233996092372
"26",26,"Chugach","Nanwalek_2003","Nanwalek",2003,38,2.229004957958,0.612770353768244,25,36.2904848432344,0.706982865258706,4,0.509980336851103,-0.673383109200952,3.59155558137917,0.269643079474612,0.42430739692705,1.57358904872988,281,76.986301369863,0.50885176642837,0.307667828454442,0.278430885264484,-3.59155558137917
"27",27,"Chugach","Nanwalek_2014","Nanwalek",2014,44,2.2527972233433,0.595318269240826,25,32.7302536790436,0.82168979178126,4,0.592723893875955,-0.523026597392084,3.48829983914127,0.263472276142076,0.416703560085772,1.58158408993691,281,76.986301369863,0.519536908478036,0.185736273895775,0.286672604453112,-3.48829983914127
"28",28,"Chugach","Port Graham_1987","Port Graham",1987,38,2.70723864922822,0.744240419430189,25,19.5880443129874,1.132060556284,4,0.816609075268462,-0.202594786677566,2.97491939608927,0.267582247888833,0.286945728380025,1.07236459310723,278,76.1643835616438,0.327570609515045,0.186481303503085,0.336143561171629,-2.97491939608927
"29",29,"Chugach","Port Graham_1989","Port Graham",1989,35,2.49942548453567,0.703004443252344,25,24.6501152736101,0.990373268243418,4,0.714403301361887,-0.33630762826327,3.20478157689197,0.265112377651124,0.288822337815994,1.08943362197925,259,70.958904109589,0.415647142538456,0.254278606743195,0.312033745828573,-3.20478157689197
"30",30,"Chugach","Port Graham_1990","Port Graham",1990,38,2.44750788835158,0.672838465092377,25,23.5324602364113,1.00479664967286,4,0.724807571792437,-0.32184907757444,3.15838075470707,0.270335815572484,0.318890096010659,1.17960727969157,258,70.6849315068493,0.455671471754405,0.257452415215833,0.316617937374922,-3.15838075470707
"31",31,"Chugach","Port Graham_1991","Port Graham",1991,42,2.66524148832099,0.713075729134422,25,23.3148465198066,1.02459203530907,4,0.739086924137364,-0.30233974094925,3.14909034734377,0.268636811268029,0.308501366877955,1.14839572961634,267,73.1506849315068,0.410052761221962,0.250239912487028,0.317552019694669,-3.14909034734377
"32",32,"Chugach","Port Graham_1992","Port Graham",1992,41,2.58001393114594,0.694752622220049,25,21.674305945764,1.07697258158765,4,0.776871501314946,-0.252480320263977,3.07612750119724,0.26851712946311,0.300243007441707,1.11815215678058,262,71.7808219178082,0.408854469492842,0.245801695104584,0.325084054419329,-3.07612750119725
"33",33,"Chugach","Port Graham_1993","Port Graham",1993,40,2.60023337274702,0.704884343631009,25,26.6632256841528,1.00038546400353,4,0.721625573947652,-0.32624887024691,3.28328530083553,0.270999941248828,0.316451670599864,1.16771859485129,257,70.4109589041096,0.435582503574783,0.217120325082094,0.304572983573959,-3.28328530083553
