"","Site_Year_Code","Lowest_Common_Taxon_Name","Habitat","Habitat_2","Trophic_Level","Trophic_Category","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Percent_Using_mean","Percent_Attempting_to_Harvest_mean","Percent_Harvesting_mean","Percent_Receiving_mean","Percent_Giving_mean","Reported_Pounds_Harvested_sum","Estimated_Total_Pounds_Harvested_sum","Percapita_Pounds_Harvested_sum","Number_Of_Resource_Harvested_sum","Estimated_Amount_Harvested_sum"
"72","Angoon_1987","Shrimp","Marine","Marine",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.029000001,NA,0.015,0.022,0.0069999998,NA,20,0.04,NA,20
"73","Angoon_1987","Smelt","Freshwater_Anadromous","Freshwater_Anadromous",3,"Secondary Consumer",46,139,193,520.8,0.099,NA,0,0.099,0.0069999998,NA,0,0,NA,0
"74","Angoon_1987","Sockeye Salmon","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.515,NA,0.288,0.303,0.168,NA,6586,12.65,NA,1532
"75","Angoon_1987","Tanner Crab","Marine","Marine",3,"Secondary Consumer",46,139,193,520.8,0.23,NA,0.139,0.146,0.069,NA,1112,2.14,NA,674
"76","Angoon_1987","Unknown Marine Invertebrates","Marine","not all are marine..",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.015,NA,0.0069999998,0.015,0,NA,204,0.39,NA,204
"77","Angoon_1987","Unknown Marine Mammals","Marine","Marine",4.5,"Omnivore (high level generalist)",46,139,193,520.8,0.015,NA,0,0.015,0,NA,0,0,NA,0
"78","Angoon_1987","Unknown Non-Salmon Fish","Marine","Marine",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.015,NA,0.015,0,0.0069999998,NA,65,0.12,NA,65
"79","Angoon_1987","Upland Game Birds","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.044,NA,0.037,0.015,0,NA,11,0.02,NA,15
"80","Angoon_1987","Wood","Terrestrial","Terrestrial",1,"Primary Producer",46,139,193,520.8,0.59099996,NA,0.584,0.077,0.153,NA,0,0,NA,560
"81","Angoon_1996","Berries","Terrestrial","Terrestrial",1,"Primary Producer",74,161,267,580.9,0.311,0.35099998,0.284,0.068,0.054,453.5,987,1.7,303,659
"82","Angoon_1996","Chinook Salmon","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",74,161,267,580.9,0.568,0.473,0.45900002,0.29700002,0.257,5515.8,12001,20.66,435,946
"83","Angoon_1996","Chiton","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.581,0.473,0.473,0.39200002,0.216,2514.37,5470,9.42,335.2,729
"84","Angoon_1996","Chum Salmon","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.176,0.162,0.162,0.108,0.095,2332.04,5074,8.73,337,733
"85","Angoon_1996","Clam","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.3449999985,0.2774999985,0.2774999985,0.1825,0.088,2657.08,5781,9.95,598,1302
"86","Angoon_1996","Cockle","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.234333333333333,0.184666666666667,0.184666666666667,0.153,0.0586666656666667,1688.73,3675,6.32,543,1182
"87","Angoon_1996","Coho Salmon","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",74,161,267,580.9,0.554,0.44599998,0.432,0.324,0.203,8018.56,17446,30.03,1474,3207
"88","Angoon_1996","Cutthroat Trout","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.027,0.027,0.027,0,0,22.5,49,0.08,15,33
"89","Angoon_1996","Deer","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.74300003,0.5,0.5,0.48599997,0.257,13600,29589,50.94,170,370
"90","Angoon_1996","Dolly Varden","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.122,0.108,0.108,0.054,0.0139999995,264.6,576,0.99,98,213
"91","Angoon_1996","Duck","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0156249995625,0.0156249995625,0.0156249995625,0.0139999995,0,32.3,71,0.11,40,88
"92","Angoon_1996","Dungeness Crab","Nearshore","Nearshore",3,"Secondary Consumer",74,161,267,580.9,0.45900002,0.311,0.29700002,0.324,0.189,568.92,1238,2.13,431,938
"93","Angoon_1996","Flounder","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,9,20,0.03,3,7
"94","Angoon_1996","Gadiformes","Marine","Marine",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.068,0.054,0.054,0.0139999995,0.027,102.4,223,0.38,32,70
"95","Angoon_1996","Geese","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,7.2,16,0.03,6,13
"96","Angoon_1996","Goat","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0.0139999995,0.0139999995,102,222,0.38,1,2
"97","Angoon_1996","Grayling","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,16.8,37,0.06,24,52
"98","Angoon_1996","Halibut","Marine","Marine",4,"Tertiary Consumer",74,161,267,580.9,0.71599996,0.5,0.5,0.5,0.27,10805,23508,40.47,10805,23508
"99","Angoon_1996","Herring","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.324,0.257,0.257,0.135,0,385,838,1.44,385,838
"100","Angoon_1996","Herring Roe","Nearshore","Nearshore",3,"Secondary Consumer",74,161,267,580.9,0.10824999475,0.016999999875,0.016999999875,0.104999994,0.01699999925,530,1154,1.98,530,1154
"101","Angoon_1996","King Crab","Marine","Marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.040999997,0.0139999995,0.0139999995,0.027,0.0139999995,80.7,176,0.3,15,33
"102","Angoon_1996","Land Otter","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.027,0.027,0.027,0.0139999995,0,0,0,0,3,7
"103","Angoon_1996","Limpet","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,1.5,3,0.01,1,2
"104","Angoon_1996","Lingcod","Marine","Marine",4,"Tertiary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,6.3,14,0.02,1,2
"105","Angoon_1996","Moose","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.027,0,0,0.027,0,0,0,0,0,0
"106","Angoon_1996","Octopus","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.068,0.068,0.068,0,0.027,108.8,237,0.41,17,37
"107","Angoon_1996","Pink Salmon","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.135,0.108,0.108,0.040999997,0.054,442.54,963,1.66,203,442
"108","Angoon_1996","Plants/Greens","Terrestrial","Terrestrial",1,"Primary Producer",74,161,267,580.9,0.189,0.176,0.176,0.068,0.054,41.96,91,0.16,104,226
"109","Angoon_1996","Rainbow Trout","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.027,0.0139999995,0.0139999995,0.0139999995,0,17,37,0.06,2,4
"110","Angoon_1996","Rockfish","Marine","Marine",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.0676666665,0.0496666665,0.0496666665,0.027,0.0136666665,449.4,978,1.68,134,292
"111","Angoon_1996","Sablefish (black cod)","Marine","Marine",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.040999997,0.027,0.027,0.0139999995,0.0139999995,96.2,209,0.36,26,57
"112","Angoon_1996","Sea Cucumber","Nearshore","Nearshore",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,40,87,0.15,5,11
"113","Angoon_1996","Sea Urchin","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.027,0.027,0.027,0,0,3.4,7,0.01,2,4
"114","Angoon_1996","Seal","Marine","Marine",4.5,"Omnivore (high level generalist)",74,161,267,580.9,0.324,0.14899999,0.14899999,0.284,0.081,2408,5239,9.02,29,63
"115","Angoon_1996","Seaweed/Kelp","Nearshore",NA,1,"Primary Producer",74,161,267,580.9,0.14199999225,0.088000004125,0.088000004125,0.111750004125,0.017,665.20197,1448,2.49,1056.0021,2297
"116","Angoon_1996","Shrimp","Marine","Marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.081,0.054,0.054,0.027,0.0139999995,280,609,1.05,35,76
"117","Angoon_1996","Smelt","Freshwater_Anadromous","Freshwater_Anadromous",3,"Secondary Consumer",74,161,267,580.9,0.027,0,0,0.027,0.0139999995,0,0,0,0,0
"118","Angoon_1996","Sockeye Salmon","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.676,0.514,0.5,0.44599998,0.23,5564.76,12107,20.84,1174,2554
"119","Angoon_1996","Tanner Crab","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.068,0.054,0.054,0.027,0.027,90.75,197,0.34,55,120
"120","Angoon_1996","Upland Game Birds","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,4,9,0.01,4,9
"121","Angoon_1996","Wilson's Snipe","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0.0139999995,0.0139999995,2,4,0.01,20,44
"122","Angoon_1996","Wood","Terrestrial","Terrestrial",1,"Primary Producer",74,161,267,580.9,0.284,0.257,0.257,0.054,0.040999997,0,0,0,121,263
"123","Angoon_2012","Abalone","Nearshore","Nearshore",2,"Primary Consumer",51,122,143,342.1,0.02,0.02,0,0,0,0,0,0,0,0
"124","Angoon_2012","Beaver","Terrestrial","Terrestrial",2,"Primary Consumer",51,122,143,342.1,0,0.02,0,0,0,0,0,0,0,0
"125","Angoon_2012","Berries","Terrestrial","Terrestrial",1,"Primary Producer",51,122,143,342.1,0.28424999375,0.269625,0.2596250075,0.058875000625,0.100625,1248.4,3140.4,9.3,312.1,785.2
"126","Angoon_2012","Chinook Salmon","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",51,122,143,342.1,0.765,0.39200002,0.353,0.51,0.275,1342.6,3288.7,9.6,143,350.3
"127","Angoon_2012","Chiton","Nearshore","Nearshore",2,"Primary Consumer",51,122,143,342.1,0.34,0.23,0.216,0.2,0.17,1049.3,2664.8,7.8,201.4,502.4
"128","Angoon_2012","Chum Salmon","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",51,122,143,342.1,0.314,0.216,0.216,0.137,0.118,188.3,453.8,1.3,28,67.5
"129","Angoon_2012","Clam","Nearshore","Nearshore",2,"Primary Consumer",51,122,143,342.1,0.1138,0.078600003,0.078600003,0.051,0.055600001,747.9,1811.1,5.3,198,478.6
"130","Angoon_2012","Cockle","Nearshore","Nearshore",2,"Primary Consumer",51,122,143,342.1,0.242000003333333,0.137666666666667,0.131,0.117666668333333,0.106333333333333,556.7,1388.3,4,179,446.4
"131","Angoon_2012","Coho Salmon","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",51,122,143,342.1,0.608,0.45099998,0.45099998,0.353,0.275,1734.9,4279.4,12.5,362,892.9
"132","Angoon_2012","Crane","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)",51,122,143,342.1,0.02,0.02,0.02,0,0,16.8,40.2,0.1,2,4.8
"133","Angoon_2012","Cutthroat Trout","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",51,122,143,342.1,0.059,0.059,0.039,0.039,0,9,21.5,0.1,6,14.4
"134","Angoon_2012","Deer","Terrestrial","Terrestrial",2,"Primary Consumer",51,122,143,342.1,0.84300005,0.49,0.45099998,0.51,0.38,7200,17451.7,51,90,218.1
"135","Angoon_2012","Dolly Varden","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",51,122,143,342.1,0.137,0.137,0.137,0.02,0.039,78,190.3,0.6,26,63.4
"136","Angoon_2012","Duck","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)",51,122,143,342.1,0.0263333333333333,0.0263333333333333,0.0263333333333333,0,0,16.6,39.9,0.1,17,40.7
"137","Angoon_2012","Dungeness Crab","Nearshore","Nearshore",3,"Secondary Consumer",51,122,143,342.1,0.49,0.216,0.216,0.373,0.216,456,1112.6,3.3,345.5,842.9
"138","Angoon_2012","Flounder","Marine","Marine",3,"Secondary Consumer",51,122,143,342.1,0.02,0.02,0,0,0,0,0,0,0,0
"139","Angoon_2012","Gadiformes","Marine","Marine",3.5,"Omnivore (pc/sc)",51,122,143,342.1,0.0785,0.059,0.0490000025,0.02,0.039,291.2,696.6,2,91,217.7
"140","Angoon_2012","Geese","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)",51,122,143,342.1,0.039,0.039,0.039,0,0,17.1,40.9,0.1,5,12
"141","Angoon_2012","Goat","Terrestrial","Terrestrial",2,"Primary Consumer",51,122,143,342.1,0.02,0,0,0.02,0,0,0,0,0,0
"142","Angoon_2012","Halibut","Marine","Marine",4,"Tertiary Consumer",51,122,143,342.1,0.804,0.471,0.39200002,0.549,0.45099998,4425.3,10957.5,32,4425.3,10957.5
"143","Angoon_2012","Herring","Marine","Marine",3,"Secondary Consumer",51,122,143,342.1,0.431,0.373,0.373,0.098000005,0.157,1917,5084.2,14.9,319.5,847.4
"144","Angoon_2012","Herring Roe","Nearshore","Nearshore",3,"Secondary Consumer",51,122,143,342.1,0.122500005,0.005,0,0.122500005,0.0345,0,0,0,0,0
"145","Angoon_2012","King Crab","Marine","Marine",2.5,"Omnivore (pp/pc)",51,122,143,342.1,0.039,0.01,0.01,0.0295,0.01,107.6,257.4,0.8,20,47.8
"146","Angoon_2012","Land Otter","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",51,122,143,342.1,0.02,0.02,0.02,0,0,0,0,0,2,4.8
