"","Forest","Site_Year_Code","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log"
"64","Tongass","Hollis_1998","Hollis","1998",35,2.59266396682622,0.729229296818858,25,8.58329032197423,1.33820346290946,4,0.965309749819958,-0.0353062448781941,2.14981732739695
"65","Tongass","Hoonah_1985","Hoonah","1985",36,2.56132712105076,0.714751942166172,25,6.96119297980155,1.35587746980535,4,0.978058850870629,-0.0221854360434002,1.94035086480205
"66","Tongass","Hoonah_1987","Hoonah","1987",33,2.53247082609896,0.724285814224524,25,7.86157447846382,1.34496851349933,4,0.970189702288643,-0.0302636572361702,2.06198690170686
"67","Tongass","Hoonah_1996","Hoonah","1996",41,2.84948363970961,0.767316101189454,25,9.6132979283126,1.32529664434899,4,0.955999448254539,-0.0449979430705062,2.26314734083401
"68","Tongass","Hoonah_2012","Hoonah","2012",35,2.6750028569834,0.752388461191273,25,1.9010038628835,1.38412126548973,4,0.998432442855495,-0.00156878704766953,0.642382095531319
"69","Tongass","Hoonah_2016","Hoonah","2016",20,2.08971213359471,0.697563047286459,25,8.84442564477546,1.33889512133092,4,0.965808675907269,-0.0347895224527171,2.17978738992114
"70","Tongass","Hydaburg_1987","Hydaburg","1987",33,2.65681084249178,0.759847017570149,25,13.1861098058142,1.28977690363688,4,0.930377371365028,-0.0721649994781944,2.57916398811087
"71","Tongass","Hydaburg_1997","Hydaburg","1997",39,2.64988619889867,0.723308751116044,25,10.434832180969,1.31700444527548,4,0.950017891013825,-0.0512744619187505,2.34514945807775
"72","Tongass","Hydaburg_2012","Hydaburg","2012",33,2.54295718845497,0.727284910371658,25,12.0261145840581,1.3031245892947,4,0.940005691317963,-0.0618693491428385,2.48708050059944
"73","Tongass","Kake_1985","Kake","1985",30,2.61843870889093,0.769857910337244,25,8.97371513549164,1.33701815105318,4,0.964454728051479,-0.0361923859946188,2.19429976373501
"74","Tongass","Kake_1987","Kake","1987",26,2.52473207021798,0.774910147920648,25,8.62218728606781,1.33573198650558,4,0.963526956444185,-0.0371548138914905,2.15433879797117
"75","Tongass","Kake_1996","Kake","1996",39,2.34048671458997,0.638855556603659,25,8.35418297757272,1.33998877292827,4,0.966597578775248,-0.0339730244623023,2.12276236882443
