"","Site_Year_Code","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Lowest_Common_Taxon_Name","Scientific_Name","Habitat","Habitat_2","Trophic_Level","Trophic_Category","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Percent_Using_mean","Percent_Attempting_to_Harvest_mean","Percent_Harvesting_mean","Percent_Receiving_mean","Percent_Giving_mean","Reported_Pounds_Harvested_sum","Estimated_Total_Pounds_Harvested_sum","Percapita_Pounds_Harvested_sum","Number_Of_Resource_Harvested_sum","Estimated_Amount_Harvested_sum"
"17","Angoon_1984","Fish","Non-Salmon Fish","Herring","Herring","Clupea pallasii","Marine","Marine",3,"Secondary Consumer",38,145,163,622,0.395,0.368,0.368,0.079,0.053000003,451,1721,2.77,451,1721
"18","Angoon_1984","Fish","Non-Salmon Fish","Herring","Herring Roe","Clupea pallasii","Nearshore","Nearshore",3,"Secondary Consumer",38,145,163,622,0.3154999995,0.0919999995,0.0919999995,0.25,0.0525,1160,4425,7.11,1160,4427
"19","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Lithodidae","Marine","Marine",2.5,"Omnivore (pp/pc)",38,145,163,622,0.237,0.132,0.132,0.184,0.079,336,1282,2.06,48,183
"20","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Limpet","Limpet","Gastropoda","Nearshore","Nearshore",2,"Primary Consumer",38,145,163,622,0.025999999,0.025999999,0.025999999,0.025999999,0,5,19,0.03,1,4
"21","Angoon_1984","Fish","Non-Salmon Fish","Hexagrammidae","Lingcod","Ophiodon elongatus","Marine","Marine",4,"Tertiary Consumer",38,145,163,622,0.079,0.025999999,0.025999999,0.053000003,0.025999999,25,96,0.15,5,19
"22","Angoon_1984","Land Mammals","Large Land Mammals","Moose","Moose","Alces alces","Terrestrial","Terrestrial",2,"Primary Consumer",38,145,163,622,0.053000003,0,0,0.053000003,0,0,0,0,0,0
"23","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Mussel","Mussel","Mussel","Nearshore","Nearshore",2,"Primary Consumer",38,145,163,622,0.053000003,0.053000003,0.053000003,0.025999999,0.025999999,12.5,48,0.08,2.5,10
"24","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopoda","Marine","Marine",3,"Secondary Consumer",38,145,163,622,0.237,0.21100001,0.21100001,0.053000003,0.025999999,360,1373,2.21,360,1374
"25","Angoon_1984","Fish","Salmon","Oncorhynchus","Pink Salmon","Oncorhynchus gorbuscha","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",38,145,163,622,0.42099997,0.342,0.342,0.079,0.079,1207.5,4608,7.41,345,1316
"26","Angoon_1984","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial","Terrestrial",1,"Primary Producer",38,145,163,622,0.158,0.132,0.132,0.053000003,0.053000003,9,35,0.06,9,34
"27","Angoon_1984","Fish","Non-Salmon Fish","Trout","Rainbow Trout","Oncorhynchus mykiss","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",38,145,163,622,0.025999999,0.053000003,0.025999999,0,0,84,320,0.51,14,53
"28","Angoon_1984","Fish","Non-Salmon Fish","Hexagrammidae","Rock Greenling","Hexagrammos lagocephalus","Marine","Marine",3,"Secondary Consumer",38,145,163,622,0.025999999,0.025999999,0.025999999,0,0,8,30,0.05,4,15
"29","Angoon_1984","Fish","Non-Salmon Fish","Rockfish","Rockfish","Sebastes","Marine","Marine",3.5,"Omnivore (pc/sc)",38,145,163,622,0.1969999995,0.13149999,0.13149999,0.0789999995,0.066,345,1317,2.12,115,439
"30","Angoon_1984","Fish","Non-Salmon Fish","Bass","Rockfish","Sebastes melonops","Marine","Marine",3.5,"Omnivore (pc/sc)",38,145,163,622,0.079,0.079,0.079,0,0.025999999,76,290,0.47,38,145
"31","Angoon_1984","Fish","Non-Salmon Fish","Sablefish","Sablefish (black cod)","Anoplopoma fimbria","Marine","Marine",3.5,"Omnivore (pc/sc)",38,145,163,622,0.21100001,0.132,0.132,0.105,0.053000003,348,1328,2.14,58,221
"32","Angoon_1984","Fish","Non-Salmon Fish","Sculpin","Sculpin","Cottoidea","Marine","Marine",3,"Secondary Consumer",38,145,163,622,0.025999999,0.025999999,0.025999999,0,0,5,19,0.03,5,19
"33","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Sea Cucumber","Apostichopus californicus","Nearshore","Nearshore",2.5,"Omnivore (pp/pc)",38,145,163,622,0.025999999,0.025999999,0.025999999,0.025999999,0.025999999,5,19,0.03,0.5,2
"34","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Sea Urchin","Strongylocentrotus","Nearshore","Nearshore",2,"Primary Consumer",38,145,163,622,0.025999999,0.025999999,0.025999999,0,0,60,229,0.37,12,46
"35","Angoon_1984","Marine Mammals","Marine Mammals","Seal","Seal","Carnivora","Marine","Marine",4.5,"Omnivore (high level generalist)",38,145,163,622,0.316,0.158,0.158,0.237,0.132,2700,10302,16.56,15,57
"36","Angoon_1984","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Seaweed/Kelp","Nearshore",NA,1,"Primary Producer",38,145,163,622,0.183999999333333,0.079000003,0.079000003,0.122666666333333,0.00866666633333333,844,3220,5.18,42.2,161
"37","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Pandalidae","Marine","Marine",2.5,"Omnivore (pp/pc)",38,145,163,622,0.053000003,0.025999999,0.025999999,0.025999999,0,1,4,0.01,1,4
"38","Angoon_1984","Fish","Salmon","Oncorhynchus","Sockeye Salmon","Oncorhynchus nerka","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",38,145,163,622,0.316,0.26299998,0.237,0.105,0.053000003,2206.4,8419,13.54,394,1503
"39","Angoon_1984","Birds and Eggs","Migratory Birds","Swan","Swan","Cygnus","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer",38,145,163,622,0.025999999,0.025999999,0.025999999,0,0.025999999,8,30,0.05,1,4
"40","Angoon_1984","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Chionoecetes","Marine","Marine",3,"Secondary Consumer",38,145,163,622,0.184,0.105,0.105,0.132,0.053000003,132,503,0.81,60,229
"41","Angoon_1984","Birds and Eggs","Other Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",38,145,163,622,0.0395,0.0524999995,0.0395,0,0,15,57,0.09,10,38
"42","Angoon_1984","Vegetation","Vegetation","Wood","Wood","Wood","Terrestrial","Terrestrial",1,"Primary Producer",38,145,163,622,0.763,NA,0.737,NA,NA,0,0,0,198,756
"43","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Abalone","Abalone","Haliotis kamtschatkana","Nearshore","Nearshore",2,"Primary Consumer",46,139,193,520.8,0.055,NA,0,0.055,0,NA,0,0,NA,0
"44","Angoon_1987","Vegetation","Vegetation","Berries","Berries","Berries","Terrestrial","Terrestrial",1,"Primary Producer",46,139,193,520.8,0.916,NA,0.708,0.347,0.146,NA,2128,4.09,NA,1419
"45","Angoon_1987","Fish","Salmon","Oncorhynchus","Chinook Salmon","Oncorhynchus tshawytscha","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",46,139,193,520.8,0.737,NA,0.387,0.44099998,0.252,NA,15025,28.85,NA,982
"46","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Chiton","Chiton","Polyplacophora","Nearshore","Nearshore",2,"Primary Consumer",46,139,193,520.8,0.675,NA,0.661,0.32900003,0.314,NA,3881,7.45,NA,517
"47","Angoon_1987","Fish","Salmon","Oncorhynchus","Chum Salmon","Oncorhynchus keta","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.201,NA,0.201,0,0.0069999998,NA,2080,3.99,NA,336
"48","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Clam","Clam","Clam","Nearshore","Nearshore",2,"Primary Consumer",46,139,193,520.8,0.588,NA,0.45599997,0.39099997,0.21200001,NA,5727,11,NA,1842
"49","Angoon_1987","Fish","Salmon","Oncorhynchus","Coho Salmon","Oncorhynchus kisutch","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",46,139,193,520.8,0.701,NA,0.52900004,0.35,0.23,NA,10578,20.31,NA,1374
"50","Angoon_1987","Land Mammals","Large Land Mammals","Deer","Deer","Odocoileus hemionus","Terrestrial","Terrestrial",2,"Primary Consumer",46,139,193,520.8,1,NA,0.752,0.463,0.398,NA,37926,72.83,NA,474
"51","Angoon_1987","Fish","Non-Salmon Fish","Char","Dolly Varden","Salvelinus malma","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.431,NA,0.347,0.20799999,0.062,NA,2192,4.21,NA,812
"52","Angoon_1987","Birds and Eggs","Migratory Birds","Duck","Duck","Anatidae","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.099,NA,0.077,0.029000001,0.0069999998,NA,161,0.31,NA,193
"53","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Metacarcinus magister","Nearshore","Nearshore",3,"Secondary Consumer",46,139,193,520.8,0.52900004,NA,0.259,0.36900002,0.106000006,NA,1315,2.53,NA,996
"54","Angoon_1987","Fish","Non-Salmon Fish","Flounder","Flounder","Platichthys stellatus","Marine","Marine",3,"Secondary Consumer",46,139,193,520.8,0.062,NA,0.055,0.0069999998,0,NA,23,0.04,NA,8
"55","Angoon_1987","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Gadiformes","Marine","Marine",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.471,NA,0.325,0.22299999,0.146,NA,1585,3.04,NA,495
"56","Angoon_1987","Birds and Eggs","Migratory Birds","Geese","Geese","Anatidae","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.077,NA,0.062,0.022,0.055,NA,125,0.24,NA,37
"57","Angoon_1987","Land Mammals","Large Land Mammals","Goat","Goat","Oreamnos americanus","Terrestrial","Terrestrial",2,"Primary Consumer",46,139,193,520.8,0.015,NA,0,0.015,0,NA,0,0,NA,0
"58","Angoon_1987","Fish","Non-Salmon Fish","Halibut","Halibut","Hippoglossus stenolepis","Marine","Marine",4,"Tertiary Consumer",46,139,193,520.8,0.85400003,NA,0.537,0.617,0.42299998,NA,12214,23.45,NA,12214
"59","Angoon_1987","Fish","Non-Salmon Fish","Herring","Herring","Clupea pallasii","Marine","Marine",3,"Secondary Consumer",46,139,193,520.8,0.245,NA,0.113000005,0.161,0.0069999998,NA,680,1.31,NA,680
"60","Angoon_1987","Fish","Non-Salmon Fish","Herring","Herring Roe","Clupea pallasii","Nearshore","Nearshore",3,"Secondary Consumer",46,139,193,520.8,0.621,NA,0.037,0.621,0.022,NA,734,1.41,NA,734
"61","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Lithodidae","Marine","Marine",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.245,NA,0.091000006,0.175,0.015,NA,437,0.84,NA,83
"62","Angoon_1987","Land Mammals","Large Land Mammals","Moose","Moose","Alces alces","Terrestrial","Terrestrial",2,"Primary Consumer",46,139,193,520.8,0.084,NA,0,0.084,0.015,NA,0,0,NA,0
"63","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopoda","Marine","Marine",3,"Secondary Consumer",46,139,193,520.8,0.16399999,NA,0.088,0.091000006,0.029000001,NA,588,1.13,NA,92
"64","Angoon_1987","Fish","Salmon","Oncorhynchus","Pink Salmon","Oncorhynchus gorbuscha","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.42299998,NA,0.307,0.171,0.153,NA,2572,4.94,NA,1169
"65","Angoon_1987","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial","Terrestrial",1,"Primary Producer",46,139,193,520.8,0.153,NA,0.044,0.139,0.022,NA,123,0.24,NA,123
"66","Angoon_1987","Fish","Non-Salmon Fish","Rockfish","Rockfish","Sebastes","Marine","Marine",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.22600001,NA,0.157,0.139,0.037,NA,618,1.19,NA,309
"67","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Sea Cucumber","Apostichopus californicus","Nearshore","Nearshore",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.015,NA,0,0.015,0.0069999998,NA,0,0,NA,0
"68","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Sea Urchin","Strongylocentrotus","Nearshore","Nearshore",2,"Primary Consumer",46,139,193,520.8,0.0069999998,NA,0.0069999998,0.0069999998,0,NA,225,0.43,NA,133
"69","Angoon_1987","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Seabird and Loon Eggs","Terrestrial",NA,2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.0069999998,NA,0,0.0069999998,0,NA,0,0,NA,0
"70","Angoon_1987","Birds and Eggs","Migratory Birds","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Terrestrial",NA,2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.0069999998,NA,0,0.0069999998,0,NA,0,0,NA,0
"71","Angoon_1987","Marine Mammals","Marine Mammals","Seal","Seal","Carnivora","Marine","Marine",4.5,"Omnivore (high level generalist)",46,139,193,520.8,0.38,NA,0.32099998,0.21200001,0.175,NA,16640,31.95,NA,198
"72","Angoon_1987","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Seaweed/Kelp","Nearshore",NA,1,"Primary Producer",46,139,193,520.8,0.475,NA,0.274,0.285,0.23,NA,1627,3.12,NA,1627
"73","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Pandalidae","Marine","Marine",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.029000001,NA,0.015,0.022,0.0069999998,NA,20,0.04,NA,20
"74","Angoon_1987","Fish","Non-Salmon Fish","Smelt","Smelt","Osmeridae","Freshwater_Anadromous","Freshwater_Anadromous",3,"Secondary Consumer",46,139,193,520.8,0.099,NA,0,0.099,0.0069999998,NA,0,0,NA,0
"75","Angoon_1987","Fish","Salmon","Oncorhynchus","Sockeye Salmon","Oncorhynchus nerka","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.515,NA,0.288,0.303,0.168,NA,6586,12.65,NA,1532
"76","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Chionoecetes","Marine","Marine",3,"Secondary Consumer",46,139,193,520.8,0.23,NA,0.139,0.146,0.069,NA,1112,2.14,NA,674
"77","Angoon_1987","Marine Invertebrates","Marine Invertebrates","Unknown Marine Invertebrates","Unknown Marine Mammals","Marine Invertebrates","Marine","not all are marine..",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.015,NA,0.0069999998,0.015,0,NA,204,0.39,NA,204
"78","Angoon_1987","Marine Mammals","Marine Mammals","Unknown Marine Mammals","Unknown Marine Mammals","Marine Mammals","Marine","Marine",4.5,"Omnivore (high level generalist)",46,139,193,520.8,0.015,NA,0,0.015,0,NA,0,0,NA,0
"79","Angoon_1987","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Non-salmon Fish","Marine","Marine",3.5,"Omnivore (pc/sc)",46,139,193,520.8,0.015,NA,0.015,0,0.0069999998,NA,65,0.12,NA,65
"80","Angoon_1987","Birds and Eggs","Other Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",46,139,193,520.8,0.044,NA,0.037,0.015,0,NA,11,0.02,NA,15
"81","Angoon_1987","Vegetation","Vegetation","Wood","Wood","Wood","Terrestrial","Terrestrial",1,"Primary Producer",46,139,193,520.8,0.59099996,NA,0.584,0.077,0.153,NA,0,0,NA,560
"82","Angoon_1996","Vegetation","Vegetation","Berries","Berries","Berries","Terrestrial","Terrestrial",1,"Primary Producer",74,161,267,580.9,0.311,0.35099998,0.284,0.068,0.054,453.5,987,1.7,303,659
"83","Angoon_1996","Fish","Salmon","Oncorhynchus","Chinook Salmon","Oncorhynchus tshawytscha","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",74,161,267,580.9,0.568,0.473,0.45900002,0.29700002,0.257,5515.8,12001,20.66,435,946
"84","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Chiton","Chiton","Polyplacophora","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.581,0.473,0.473,0.39200002,0.216,2514.37,5470,9.42,335.2,729
"85","Angoon_1996","Fish","Salmon","Oncorhynchus","Chum Salmon","Oncorhynchus keta","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.176,0.162,0.162,0.108,0.095,2332.04,5074,8.73,337,733
"86","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Clam","Clam","Clam","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.3449999985,0.2774999985,0.2774999985,0.1825,0.088,2657.08,5781,9.95,598,1302
"87","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Cockle","Cockle","Cardiidae","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.234333333333333,0.184666666666667,0.184666666666667,0.153,0.0586666656666667,1688.73,3675,6.32,543,1182
"88","Angoon_1996","Fish","Salmon","Oncorhynchus","Coho Salmon","Oncorhynchus kisutch","Freshwater_Anadromous","Freshwater_Anadromous",4,"Tertiary Consumer",74,161,267,580.9,0.554,0.44599998,0.432,0.324,0.203,8018.56,17446,30.03,1474,3207
"89","Angoon_1996","Fish","Non-Salmon Fish","Trout","Cutthroat Trout","Oncorhynchus clarkii","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.027,0.027,0.027,0,0,22.5,49,0.08,15,33
"90","Angoon_1996","Land Mammals","Large Land Mammals","Deer","Deer","Odocoileus hemionus","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.74300003,0.5,0.5,0.48599997,0.257,13600,29589,50.94,170,370
"91","Angoon_1996","Fish","Non-Salmon Fish","Char","Dolly Varden","Salvelinus malma","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.122,0.108,0.108,0.054,0.0139999995,264.6,576,0.99,98,213
"92","Angoon_1996","Birds and Eggs","Migratory Birds","Duck","Duck","Anatidae","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0156249995625,0.0156249995625,0.0156249995625,0.0139999995,0,32.3,71,0.11,40,88
"93","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Metacarcinus magister","Nearshore","Nearshore",3,"Secondary Consumer",74,161,267,580.9,0.45900002,0.311,0.29700002,0.324,0.189,568.92,1238,2.13,431,938
"94","Angoon_1996","Fish","Non-Salmon Fish","Flounder","Flounder","Platichthys stellatus","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,9,20,0.03,3,7
"95","Angoon_1996","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Gadiformes","Marine","Marine",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.068,0.054,0.054,0.0139999995,0.027,102.4,223,0.38,32,70
"96","Angoon_1996","Birds and Eggs","Migratory Birds","Geese","Geese","Anatidae","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,7.2,16,0.03,6,13
"97","Angoon_1996","Land Mammals","Large Land Mammals","Goat","Goat","Oreamnos americanus","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0.0139999995,0.0139999995,102,222,0.38,1,2
"98","Angoon_1996","Fish","Non-Salmon Fish","Grayling","Grayling","Thymallus arcticus","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,16.8,37,0.06,24,52
"99","Angoon_1996","Fish","Non-Salmon Fish","Halibut","Halibut","Hippoglossus stenolepis","Marine","Marine",4,"Tertiary Consumer",74,161,267,580.9,0.71599996,0.5,0.5,0.5,0.27,10805,23508,40.47,10805,23508
"100","Angoon_1996","Fish","Non-Salmon Fish","Herring","Herring","Clupea pallasii","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.324,0.257,0.257,0.135,0,385,838,1.44,385,838
"101","Angoon_1996","Fish","Non-Salmon Fish","Herring","Herring Roe","Clupea pallasii","Nearshore","Nearshore",3,"Secondary Consumer",74,161,267,580.9,0.10824999475,0.016999999875,0.016999999875,0.104999994,0.01699999925,530,1154,1.98,530,1154
"102","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Lithodidae","Marine","Marine",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.040999997,0.0139999995,0.0139999995,0.027,0.0139999995,80.7,176,0.3,15,33
"103","Angoon_1996","Land Mammals","Small Land Mammals","Land Otter","Land Otter","Lutra canadensis","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)",74,161,267,580.9,0.027,0.027,0.027,0.0139999995,0,0,0,0,3,7
"104","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Limpet","Limpet","Gastropoda","Nearshore","Nearshore",2,"Primary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,1.5,3,0.01,1,2
"105","Angoon_1996","Fish","Non-Salmon Fish","Hexagrammidae","Lingcod","Ophiodon elongatus","Marine","Marine",4,"Tertiary Consumer",74,161,267,580.9,0.0139999995,0.0139999995,0.0139999995,0,0,6.3,14,0.02,1,2
"106","Angoon_1996","Land Mammals","Large Land Mammals","Moose","Moose","Alces alces","Terrestrial","Terrestrial",2,"Primary Consumer",74,161,267,580.9,0.027,0,0,0.027,0,0,0,0,0,0
"107","Angoon_1996","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopoda","Marine","Marine",3,"Secondary Consumer",74,161,267,580.9,0.068,0.068,0.068,0,0.027,108.8,237,0.41,17,37
"108","Angoon_1996","Fish","Salmon","Oncorhynchus","Pink Salmon","Oncorhynchus gorbuscha","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)",74,161,267,580.9,0.135,0.108,0.108,0.040999997,0.054,442.54,963,1.66,203,442
"109","Angoon_1996","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial","Terrestrial",1,"Primary Producer",74,161,267,580.9,0.189,0.176,0.176,0.068,0.054,41.96,91,0.16,104,226
