"","Resource_Code","Resource_Name"
"311",430214000,"Mallard Eggs"
"312",430299000,"Unknown Duck Eggs"
"313",430400000,"Geese Eggs"
"314",430404000,"Canada Geese Eggs"
"315",430404990,"Unknown Canada Geese Eggs"
"316",430499000,"Unknown Geese Eggs"
"317",430600000,"Swan Eggs"
"318",430699000,"Unknown Swan Eggs"
"319",430800000,"Crane Eggs"
"320",430802000,"Sandhill Crane Eggs"
"321",4.31e+08,"Shorebird Eggs"
"322",431004000,"Black Oystercatcher Eggs"
"323",431099000,"Unknown Shorebird Eggs"
"324",431099010,"Unknown Small Shorebird Eggs"
"325",431099020,"Unknown Large Shorebird Eggs"
"326",431200000,"Seabird & Loon Eggs"
"327",431212000,"Gull Eggs"
"328",431212040,"Glaucous Winged Gull Eggs"
"329",431216000,"Loon Eggs"
"330",431216990,"Unknown Loon Eggs"
"331",431226000,"Tern Eggs"
"332",431226990,"Unknown Tern Eggs"
"333",431299000,"Unknown Seabird Eggs"
"334",431800000,"Upland Game Bird Eggs"
"335",431802000,"Grouse Eggs"
"336",431802990,"Unknown Grouse Eggs"
"337",431804000,"Ptarmigan Eggs"
"338",431804990,"Unknown Ptarmigan Eggs"
"339",5e+08,"Marine Invertebrates"
"340",500200000,"Abalone"
"341",500400000,"Chitons (bidarkis, gumboots)"
"342",500404000,"Red (large) Chitons"
"343",500408000,"Black (small) Chitons"
"344",500600000,"Clams"
"345",500602000,"Butter Clams"
"346",500606000,"Horse Clams (Gaper)"
"347",500608000,"Pacific Littleneck Clams (Steamers)"
"348",500612000,"Razor Clams"
"349",500699000,"Unknown Clams"
"350",500800000,"Cockles"
"351",500802000,"Basket Cockles"
"352",500804000,"Heart Cockles"
"353",500899000,"Unknown Cockles"
"354",5.01e+08,"Crabs"
"355",501004000,"Dungeness Crab"
"356",501004001,"Dungeness Crab [CF Retention]"
"357",501008000,"King Crab"
"358",501008020,"Blue King Crab"
"359",501008021,"Blue King Crab [CF Retention]"
"360",501008040,"Brown King Crab"
"361",501008041,"Brown King Crab [CF Retention]"
"362",501008080,"Red King Crab"
"363",501008081,"Red King Crab [CF Retention]"
"364",501012000,"Tanner Crab"
"365",501012001,"Tanner Crab [CF Retention]"
"366",501200000,"Geoducks"
"367",501200001,"Geoducks [CF Retention]"
"368",501800000,"Limpets"
"369",5.02e+08,"Mussels"
"370",502200000,"Octopus"
"371",502200001,"Octopus [CF Retention]"
"372",502600000,"Scallops"
"373",502602000,"Weathervane Scallops"
"374",502602001,"Weathervane Scallops [CF Retention]"
"375",502604000,"Rock Scallops"
"376",5.03e+08,"Sea Cucumber"
"377",503000001,"Sea Cucumber [CF Retention]"
"378",503200000,"Sea Urchin"
"379",503202000,"Green Sea Urchin"
"380",503204000,"Red Sea Urchin"
"381",503204001,"Red Sea Urchin [CF Retention]"
"382",503206000,"Purple Sea Urchins"
"383",503400000,"Shrimp"
"384",503400001,"Shrimp [CF Retention]"
"385",503800000,"Squid"
"386",6e+08,"Vegetation"
"387",6.01e+08,"Berries"
"388",601002000,"Blueberry"
"389",601004000,"Low Bush Cranberry"
"390",601006000,"High Bush Cranberry"
"391",601008000,"Elderberry"
"392",601010000,"Gooseberry"
"393",601012000,"Currants"
"394",601014000,"Huckleberry"
"395",601016000,"Cloud Berry"
"396",601018000,"Nagoonberry"
"397",601020000,"Raspberry"
"398",601022000,"Salmonberry"
"399",601024000,"Soapberry"
"400",601026000,"Strawberry"
"401",601028000,"Thimbleberry"
"402",601032000,"Twisted Stalk Berry (Watermelon Berry)"
"403",6.02e+08,"Plants/Greens/Mushrooms"
"404",602002000,"Beach Asparagus"
"405",602004000,"Goose Tongue"
"406",602006000,"Wild Rhubarb"
"407",602009000,"Eskimo Potato"
"408",602012000,"Devils Club"
"409",602014000,"Fiddlehead Ferns"
"410",602016000,"Nettle"
"411",602018000,"Hudson Bay Tea"
"412",602020000,"Indian Rice"
"413",602022000,"Mint"
"414",602024000,"Salmonberry Shoots"
"415",602026000,"Skunk Cabbage"
"416",602028000,"Sourdock"
"417",602030000,"Spruce Tips"
"418",602032000,"Wild Celery"
"419",602034000,"Wild Parsley"
"420",602036000,"Wild Rose Hips"
"421",602038000,"Other Wild Greens"
"422",602040000,"Unknown Mushrooms"
"423",6.03e+08,"Seaweed/Kelp"
"424",603002000,"Black Seaweed"
"425",603004000,"Bull Kelp"
"426",603006000,"Red Seaweed"
"427",603008000,"Sea Ribbons"
"428",603010000,"Giant Kelp (Macrocystis)"
"429",603012000,"Alaria"
"430",603090000,"Seaweed/Kelp Used for Fertilizer"
"431",603099000,"Unknown Seaweed"
"432",6.04e+08,"Wood"
"433",604011000,"Alder"
"434",604099000,"Other Wood"
"435",9e+08,NA
"436",9.4e+08,NA
"437",940100000,NA
"438",940100320,NA
"439",940100321,NA
"440",940100325,NA
"441",100000001,"Fish [CF Retention]"
"442",100000002,"Fish [Rod and Reel]"
"443",100000003,"Fish [Other Gear]"
"444",110000001,"Salmon [CF Retention]"
"445",110000002,"Salmon [Rod and Reel]"
"446",110000003,"Salmon [Other Gear]"
"447",119000001,"Unknown Salmon [CF Retention]"
"448",120000001,"Non-Salmon [CF Retention]"
"449",120000002,"Non-Salmon [Rod and Reel]"
"450",120000003,"Non-Salmon [Other Gear]"
"451",120300001,"Herring Roe [CF Retention]"
"452",120300002,"Herring Roe [Rod and Reel]"
"453",120300003,"Herring Roe [Other Gear]"
"454",120302001,"Herring Roe/Unspecified [CF Retention]"
"455",120308001,"Herring Roe on Hair Seaweed [CF Retention]"
"456",120310001,"Herring Roe on Hemlock Branches [CF Retention]"
"457",120400001,"Smelt [CF Retention]"
"458",120400002,"Smelt [Rod and Reel]"
"459",120400003,"Smelt [Other Gear]"
"460",120404001,"Eulachon (hooligan, candlefish) [CF Retention]"
"461",120410001,"Silver Smelt [CF Retention]"
"462",120499000,"Unknown Smelt"
"463",120499001,"Unknown Smelt [CF Retention]"
"464",120499002,"Unknown Smelt [Rod and Reel]"
"465",120499003,"Unknown Smelt [Other Gear]"
"466",121000001,"Cod [CF Retention]"
"467",121000002,"Cod [Rod and Reel]"
"468",121000003,"Cod [Other Gear]"
"469",121012000,"Walleye Pollock (whiting)"
"470",121012001,"Walleye Pollock (whiting) [CF Retention]"
"471",121012002,"Walleye Pollock (whiting) [Rod and Reel]"
"472",121012003,"Walleye Pollock (whiting) [Other Gear]"
"473",121099000,"Unknown Cod"
"474",121099001,"Unknown Cod [CF Retention]"
"475",121099002,"Unknown Cod [Rod and Reel]"
"476",121099003,"Unknown Cod [Other Gear]"
"477",121499000,"Unknown Flounder"
"478",121499001,"Unknown Flounder [CF Retention]"
"479",121499002,"Unknown Flounder [Rod and Reel]"
"480",121499003,"Unknown Flounder [Other Gear]"
"481",121600001,"Greenling [CF Retention]"
"482",121600002,"Greenling [Rod and Reel]"
"483",121600003,"Greenling [Other Gear]"
"484",121608000,"Rock Greenling"
"485",121608001,"Rock Greenling [CF Retention]"
"486",121608002,"Rock Greenling [Rod and Reel]"
"487",121608003,"Rock Greenling [Other Gear]"
"488",122200000,"Perch"
"489",122200001,"Perch [CF Retention]"
"490",122200002,"Perch [Rod and Reel]"
"491",122200003,"Perch [Other Gear]"
"492",122202000,"Sea Perch"
"493",122202001,"Sea Perch [CF Retention]"
"494",122202002,"Sea Perch [Rod and Reel]"
"495",122202003,"Sea Perch [Other Gear]"
"496",122299000,"Unknown Perch"
"497",122299001,"Unknown Perch [CF Retention]"
"498",122299002,"Unknown Perch [Rod and Reel]"
"499",122299003,"Unknown Perch [Other Gear]"
"500",122600001,"Rockfish [CF Retention]"
"501",122600002,"Rockfish [Rod and Reel]"
"502",122600003,"Rockfish [Other Gear]"
"503",122604000,"Red Rockfish"
"504",122604001,"Red Rockfish [CF Retention]"
"505",122604002,"Red Rockfish [Rod and Reel]"
"506",122604003,"Red Rockfish [Other Gear]"
"507",122699001,"Unknown Rockfish [CF Retention]"
"508",123000001,"Sculpin [CF Retention]"
"509",123000002,"Sculpin [Rod and Reel]"
"510",123000003,"Sculpin [Other Gear]"
"511",123002001,"Buffalo Sculpin [CF Retention]"
"512",123006001,"Irish Lord [CF Retention]"
"513",123006002,"Irish Lord [Rod and Reel]"
"514",123006003,"Irish Lord [Other Gear]"
"515",123006021,"Red Irish Lord [CF Retention]"
"516",123099000,"Unknown Sculpin"
"517",123099001,"Unknown Sculpin [CF Retention]"
"518",123099002,"Unknown Sculpin [Rod and Reel]"
"519",123099003,"Unknown Sculpin [Other Gear]"
"520",123200001,"Shark [CF Retention]"
"521",123200002,"Shark [Rod and Reel]"
"522",123200003,"Shark [Other Gear]"
"523",123202000,"Dogfish"
"524",123202001,"Dogfish [CF Retention]"
"525",123202002,"Dogfish [Rod and Reel]"
"526",123202003,"Dogfish [Other Gear]"
"527",123299001,"Unknown Shark [CF Retention]"
"528",123400001,"Skates [CF Retention]"
"529",123600001,"Sole [CF Retention]"
"530",123699000,"Unknown Sole"
"531",123699001,"Unknown Sole [CF Retention]"
"532",123699002,"Unknown Sole [Rod and Reel]"
"533",123699003,"Unknown Sole [Other Gear]"
"534",125000001,"Char [CF Retention]"
"535",125000002,"Char [Rod and Reel]"
"536",125000003,"Char [Other Gear]"
"537",125004000,"Brook Trout"
"538",125004001,"Brook Trout [CF Retention]"
"539",125004002,"Brook Trout [Rod and Reel]"
"540",125004003,"Brook Trout [Other Gear]"
"541",125006001,"Dolly Varden [CF Retention]"
"542",125200000,"Grayling"
"543",125200001,"Grayling [CF Retention]"
"544",125200002,"Grayling [Rod and Reel]"
"545",125200003,"Grayling [Other Gear]"
"546",126200001,"Trout [CF Retention]"
"547",126200002,"Trout [Rod and Reel]"
"548",126200003,"Trout [Other Gear]"
"549",126202001,"Cutthroat Trout [CF Retention]"
"550",126204001,"Rainbow Trout [CF Retention]"
"551",126206001,"Steelhead [CF Retention]"
"552",126299000,"Unknown Trout"
"553",126299001,"Unknown Trout [CF Retention]"
"554",126299002,"Unknown Trout [Rod and Reel]"
"555",126299003,"Unknown Trout [Other Gear]"
"556",2.12e+08,"Muskox"
"557",300000001,"Marine Mammals, Male"
"558",300000002,"Marine Mammals, Female"
"559",300000009,"Marine Mammals, Unknown Sex"
"560",300800001,"Seal, Male"
"561",300800002,"Seal, Female"
"562",300800009,"Seal, Unknown Sex"
"563",300804040,"Fur Seal (other)"
"564",300804041,"Fur Seal (other), Male"
"565",300804042,"Fur Seal (other), Female"
"566",300804049,"Fur Seal (other), Unknown Sex"
"567",300806040,"Harbor Seal (saltwater)"
"568",300806041,"Harbor Seal (saltwater), Male"
"569",300806042,"Harbor Seal (saltwater), Female"
"570",300806049,"Harbor Seal (saltwater), Unknown Sex"
"571",301000001,"Sea Otter, Male"
"572",301000002,"Sea Otter, Female"
"573",301000009,"Sea Otter, Unknown Sex"
"574",410000001,"Migratory Birds - Spring"
"575",410000002,"Migratory Birds - Summer"
"576",410000003,"Migratory Birds - Fall"
"577",410000004,"Migratory Birds - Winter"
"578",410000009,"Migratory Birds - Season Unknown"
"579",410200001,"Ducks - Spring"
"580",410200002,"Ducks - Summer"
"581",410200003,"Ducks - Fall"
"582",410200004,"Ducks - Winter"
"583",410200009,"Ducks - Season Unknown"
"584",410202000,"Bufflehead"
"585",410202001,"Bufflehead - Spring"
"586",410202002,"Bufflehead - Summer"
"587",410202003,"Bufflehead - Fall"
"588",410202004,"Bufflehead - Winter"
"589",410202009,"Bufflehead - Season Unknown"
"590",410210009,"Goldeneye - Season Unknown"
"591",410210020,"Barrows Goldeneye"
"592",410210021,"Barrows Goldeneye - Spring"
"593",410210022,"Barrows Goldeneye - Summer"
"594",410210023,"Barrows Goldeneye - Fall"
"595",410210024,"Barrows Goldeneye - Winter"
"596",410210029,"Barrows Goldeneye - Season Unknown"
"597",410210040,"Common Goldeneye"
"598",410210041,"Common Goldeneye - Spring"
"599",410210042,"Common Goldeneye - Summer"
"600",410210043,"Common Goldeneye - Fall"
"601",410210044,"Common Goldeneye - Winter"
"602",410210049,"Common Goldeneye - Season Unknown"
"603",410212000,"Harlequin"
"604",410212001,"Harlequin - Spring"
"605",410212002,"Harlequin - Summer"
"606",410212003,"Harlequin - Fall"
"607",410212004,"Harlequin - Winter"
"608",410212009,"Harlequin - Season Unknown"
"609",410214009,"Mallard - Season Unknown"
"610",410218009,"Long-tailed Duck (Oldsquaw) - Season Unknown"
"611",410220009,"Northern Pintail - Season Unknown"
"612",410226009,"Scaup - Season Unknown"
"613",410226040,"Lesser Scaup"
"614",410226041,"Lesser Scaup - Spring"
"615",410226042,"Lesser Scaup - Summer"
"616",410226043,"Lesser Scaup - Fall"
"617",410226044,"Lesser Scaup - Winter"
"618",410226049,"Lesser Scaup - Season Unknown"
"619",410226990,"Unknown Scaup"
"620",410226991,"Unknown Scaup - Spring"
"621",410226992,"Unknown Scaup - Summer"
"622",410226993,"Unknown Scaup - Fall"
"623",410226994,"Unknown Scaup - Winter"
"624",410226999,"Unknown Scaup - Season Unknown"
"625",410232009,"Teal - Season Unknown"
"626",410232060,"Green-Winged Teal"
"627",410232061,"Green-Winged Teal - Spring"
"628",410232062,"Green-Winged Teal - Summer"
"629",410232063,"Green-Winged Teal - Fall"
"630",410232064,"Green-Winged Teal - Winter"
"631",410232069,"Green-Winged Teal - Season Unknown"
"632",410236009,"Wigeon - Season Unknown"
"633",410236020,"American Wigeon"
"634",410236021,"American Wigeon - Spring"
"635",410236022,"American Wigeon - Summer"
"636",410236023,"American Wigeon - Fall"
"637",410236024,"American Wigeon - Winter"
"638",410236029,"American Wigeon - Season Unknown"
"639",410236990,"Unknown Wigeon"
"640",410236991,"Unknown Wigeon - Spring"
"641",410236992,"Unknown Wigeon - Summer"
"642",410236993,"Unknown Wigeon - Fall"
"643",410236994,"Unknown Wigeon - Winter"
"644",410236999,"Unknown Wigeon - Season Unknown"
"645",410400001,"Geese - Spring"
"646",410400002,"Geese - Summer"
"647",410400003,"Geese - Fall"
"648",410400004,"Geese - Winter"
"649",410400009,"Geese - Season Unknown"
"650",410404001,"Canada Geese  - Spring"
"651",410404002,"Canada Geese  - Summer"
"652",410404003,"Canada Geese  - Fall"
"653",410404004,"Canada Geese  - Winter"
"654",410404009,"Canada Geese  - Season Unknown"
"655",410404100,"Vancouver Canada Geese"
"656",410404101,"Vancouver Canada Geese - Spring"
"657",410404102,"Vancouver Canada Geese - Summer"
"658",410404103,"Vancouver Canada Geese - Fall"
"659",410404104,"Vancouver Canada Geese - Winter"
"660",410404109,"Vancouver Canada Geese - Season Unknown"
"661",410408000,"Snow Geese"
"662",410408001,"Snow Geese - Spring"
"663",410408002,"Snow Geese - Summer"
"664",410408003,"Snow Geese - Fall"
"665",410408004,"Snow Geese - Winter"
"666",410408009,"Snow Geese - Season Unknown"
"667",410410009,"White-fronted Geese - Season Unknown"
"668",410600001,"Swan - Spring"
