Forest,Site_Year_Code,Community,Harvest_Survey_Year,Habitat,Lowest_Common_Taxon_Name,Percapita_Pounds_Harvested_sum,Community_Population_2020,est_total_lbs_2020,est_total_kgs_2020,Group,Food Category,Cost_per_lb,total_cost_est_2020,total_cost_est_2020_mil,servings,servigs_percapita
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Sockeye Salmon,22.74,344,7822.56,3548.25,Salmon,Pacific Salmon,11.99,93792.49,0.09,23655.02,68.76460329
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Unknown Trout,0.08,344,27.52,12.48,Trout,Pacific Salmon,11.99,329.96,0.00,83.22,0.241915931
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Upland Game Birds,1.98,344,681.12,308.95,Birds/Eggs,Duck,16.00,10897.92,0.01,2059.67,5.987419284
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Whitefish,0.15,344,51.60,23.41,Other Freshwater/Anadromous Fish,Pacific Cod,8.79,453.56,0.00,156.04,0.45359237
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Beaver,0.19,2609,498.25,226.00,Small Land Mammals,Venison,25.00,12455.17,0.01,1506.67,0.577490279
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Berries,9.55,2609,24928.83,11307.53,Berries,Blueberries,8.96,223362.28,0.22,75383.50,28.89363843
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Black Bear,0.46,2609,1200.97,544.75,Other Large Land Mammals,Bison,33.00,39629.55,0.04,3631.67,1.391976584
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Caribou,0.60,2609,1552.98,704.42,Other Large Land Mammals,Venison,25.00,38821.30,0.04,4696.12,1.799969737
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Chinook Salmon,8.16,2609,21291.43,9657.63,Salmon,Pacific Salmon,11.99,255284.28,0.26,64384.21,24.67773523
Chugach,Cordova_2014,Cordova,2014,Nearshore,Chiton,0.00,2609,7.76,3.52,Mollusc,Scallop,11.19,86.89,0.00,23.48,0.008999849
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Chum Salmon,0.46,2609,1204.16,546.20,Salmon,Pacific Salmon,11.99,14437.84,0.01,3641.31,1.395672455
Chugach,Cordova_2014,Cordova,2014,Nearshore,Clam,0.23,2609,599.18,271.78,Mollusc,Scallop,11.19,6704.84,0.01,1811.89,0.69447844
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Coho Salmon,15.74,2609,41054.72,18622.11,Salmon,Pacific Salmon,11.99,492246.13,0.49,124147.39,47.58428296
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Crane,0.20,2609,521.80,236.68,Birds/Eggs,Duck,16.00,8348.80,0.01,1577.90,0.604789827
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Cutthroat Trout,0.19,2609,507.31,230.11,Trout,Pacific Salmon,11.99,6082.59,0.01,1534.07,0.587990126
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Dall Sheep,0.41,2609,1076.73,488.40,Other Large Land Mammals,Venison,25.00,26916.10,0.03,3255.98,1.247979029
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Deer,7.84,2609,20461.40,9281.14,Deer,Venison,25.00,511494.15,0.51,61874.24,23.71569242
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Dolly Varden,0.17,2609,449.33,203.81,Char,Pacific Salmon,11.99,5387.44,0.01,1358.74,0.520791263
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Duck,0.97,2609,2535.72,1150.18,Birds/Eggs,Duck,16.00,40571.55,0.04,7667.89,2.939016137
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Duck Eggs,0.00,2609,4.66,2.11,Birds/Eggs,Eggs,4.99,23.26,0.00,14.09,0.005399909
Chugach,Cordova_2014,Cordova,2014,Nearshore,Dungeness Crab,0.06,2609,159.91,72.54,Nearshore Crab,Crab,30.00,4797.26,0.00,483.57,0.1853477
Chugach,Cordova_2014,Cordova,2014,Marine,Gadiformes,0.23,2609,612.91,278.01,Non-Halibut Fish,Pacific Cod,8.79,5387.46,0.01,1853.40,0.710388066
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Geese,0.10,2609,261.07,118.42,Birds/Eggs,Duck,16.00,4177.12,0.00,789.46,0.302591639
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Goat,0.72,2609,1876.51,851.17,Other Large Land Mammals,Venison,25.00,46909.07,0.05,5674.48,2.174963409
Chugach,Cordova_2014,Cordova,2014,Marine,Grayling,0.03,2609,68.85,31.23,Non-Halibut Fish,Pacific Cod,8.79,605.18,0.00,208.19,0.079798661
Chugach,Cordova_2014,Cordova,2014,Marine,Halibut,14.48,2609,37769.90,17132.14,Halibut,Halibut,27.99,1057053.48,1.06,114214.24,43.77701912
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Hare,0.16,2609,426.91,193.64,Small Land Mammals,Venison,25.00,10671.97,0.01,1290.96,0.494811337
Chugach,Cordova_2014,Cordova,2014,Marine,Herring,0.37,2609,957.14,434.15,Non-Halibut Fish,Herring,9.32,8920.57,0.01,2894.35,1.109371483
Chugach,Cordova_2014,Cordova,2014,Nearshore,Herring Roe,0.37,2609,960.26,435.57,Herring Roe,Herring,9.32,8949.59,0.01,2903.77,1.112981245
Chugach,Cordova_2014,Cordova,2014,Marine,King Crab,0.50,2609,1294.15,587.02,Offshore Crab,Crab,30.00,38823.11,0.04,3913.43,1.499974811
Chugach,Cordova_2014,Cordova,2014,Nearshore,Limpet,0.00,2609,2.63,1.19,Mollusc,Scallop,11.19,29.40,0.00,7.95,0.003045441
Chugach,Cordova_2014,Cordova,2014,Marine,Lingcod,0.12,2609,313.00,141.97,Non-Halibut Fish,Pacific Cod,8.79,2751.25,0.00,946.49,0.36277843
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Moose,30.00,2609,78270.00,35502.67,Other Large Land Mammals,Venison,25.00,1956593.46,1.96,236684.50,90.718474
Chugach,Cordova_2014,Cordova,2014,Nearshore,Mussel,0.00,2609,2.59,1.17,Mollusc,Scallop,11.19,28.96,0.00,7.83,0.00299995
