"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"225","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Sockeye Salmon",NA,17466,47.866,14.77,NA,4062,0.0007968757,"4.3","Ind.","1182.3",NA,NA,NA,NA
"226","Tongass Resource Use Cooperative Study 1987","Craig_1987","Marine","Fish","Non-Salmon Fish","Clupeidae","Herring",NA,411,1.126,0.35,NA,411,1.8751625e-05,"1","lb.","1182.3",NA,NA,NA,NA
"227","Tongass Resource Use Cooperative Study 1987","Craig_1987","Nearshore","Fish","Non-Salmon Fish","Clupeidae","Herring Roe",NA,53980,147.94,45.66,NA,53980,0.0024628048,"1","lb.","1182.3",NA,NA,NA,NA
"228","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Eulachon (hooligan, candlefish",NA,0,0,0,NA,0,0,"NA","NA","1182.3",NA,NA,NA,NA
"229","Tongass Resource Use Cooperative Study 1987","Craig_1987","Marine","Fish","Non-Salmon Fish","Flounder","Flounder",NA,85,0.233,0.07,NA,28,3.8780736e-06,"3","Ind.","1182.3",NA,NA,NA,NA
"230","Tongass Resource Use Cooperative Study 1987","Craig_1987","Marine","Fish","Non-Salmon Fish","Halibut","Halibut",NA,15802,43.308,13.37,NA,15802,0.0007209566,"1","lb.","1182.3",NA,NA,NA,NA
"231","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Dolly Varden",NA,14832,40.649,12.54,NA,5493,0.000676701,"2.7","Ind.","1182.3",NA,NA,NA,NA
"232","Tongass Resource Use Cooperative Study 1987","Craig_1987","Marine","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish",NA,78,0.213,0.07,NA,78,3.5587027e-06,"1","lb.","1182.3",NA,NA,NA,NA
"233","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chum Salmon",2754.16,9679,15.92,5.49,398,1399,0.00023785183,"6.92","Ind.","1764.3",NA,NA,NA,NA
"234","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Coho Salmon",10200,35847,58.96,20.32,1875,6590,0.0008809045,"5.44","Ind.","1764.3",NA,NA,NA,NA
"235","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chinook Salmon",7138.84,25089,41.26,14.22,563,1979,0.00061653735,"12.68","Ind.","1764.3",NA,NA,NA,NA
"236","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Pink Salmon",1050.76,3693,6.07,2.09,482,1694,9.075182e-05,"2.18","Ind.","1764.3",NA,NA,NA,NA
"237","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Sockeye Salmon",11290.68,39681,65.26,22.49,2382,8371,0.0009751213,"4.74","Ind.","1764.3",NA,NA,NA,NA
"238","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Unknown Salmon",0,0,0,0,0,0,0,"6.42","Ind.","1764.3",NA,NA,NA,NA
"239","Prince of Wales 1997/1998","Craig_1997","Marine","Fish","Non-Salmon Fish","Clupeidae","Herring",479,1683,2.77,0.95,479,1683,4.1358056e-05,"1","lb.","1764.3",NA,NA,NA,NA
"240","Prince of Wales 1997/1998","Craig_1997","Nearshore","Fish","Non-Salmon Fish","Clupeidae","Herring Roe",8177,28738,47.26,16.29,8177,28738,0.0007062078789,"1","lb.","1764.3",NA,NA,NA,NA
"241","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Eulachon (hooligan, candlefish",25,88,0.14,0.05,100,351,2.1625128e-06,"0.25","Ind.","1764.3",NA,NA,NA,NA
"242","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Silver Smelt",0,0,0,0,0,0,0,"9","Gal.","1764.3",NA,NA,NA,NA
"243","Prince of Wales 1997/1998","Craig_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Unknown Smelt",0,0,0,0,0,0,0,"1","Ind.","1764.3",NA,NA,NA,NA
